,district,metro,area,rooms,floor,gk,price,adress
559,1.29,3.0,30.0,1.0,4.0,0.0,8500.0,"Копыловская ул., 10, Подольский р-н"
560,1.0,3.0,26.0,1.0,5.0,0.0,6800.0,"Кубанской Украины ул. (Жукова маршала), 29 А, Деснянский р-н"
561,1.22,1.0,45.0,2.0,5.0,0.0,12500.0,"Оболонский просп., 16 Е, Оболонский р-н"
562,1.22,1.0,49.0,2.0,1.0,0.0,11000.0,"Гайдай Зои ул., 2а, Оболонский р-н"
563,1.22,3.0,28.0,1.0,2.0,0.0,9000.0,"Северная ул., 52, Оболонский р-н"
564,1.22,3.0,39.0,1.0,22.0,1.0,11500.0,"Петра Калнышевского ул. (Майорова Михаила), 6, Оболонский р-н"
565,1.22,3.0,40.0,1.0,17.0,1.0,11500.0,"Петра Калнышевского ул. (Майорова Михаила), 6, Оболонский р-н"
566,1.29,3.0,48.0,2.0,2.0,0.0,11000.0,"Кирилловская ул. (Фрунзе), 122/1, Подольский р-н"
567,1.19,3.0,47.0,2.0,2.0,0.0,8000.0,"Краковская ул., 27а, Днепровский р-н"
568,1.19,3.0,79.0,2.0,9.0,1.0,33000.0,"Липковского Василия ул. (Урицкого), 37в, Соломенский р-н"
569,1.12,1.0,73.0,2.0,11.0,0.0,16000.0,"Чавдар Елизаветы ул., 6, Дарницкий р-н"
570,1.53,1.0,46.0,2.0,4.0,0.0,16500.0,"Большая Васильковская ул. (Красноармейская), 129, Голосеевский р-н"
571,2.87,1.0,38.5,1.0,3.0,0.0,12375.0,"Михаила Бойчука ул. (Киквидзе), 15А, Печерский р-н"
572,1.53,3.0,46.0,2.0,22.0,1.0,11500.0,"Приміська, 26, Голосеевский р-н"
573,1.12,1.0,43.0,2.0,19.0,1.0,24750.0,"Заречная ул., 1г, Дарницкий р-н"
574,1.12,3.0,96.0,3.0,12.0,1.0,17000.0,"Срибнокильская ул., 1, Дарницкий р-н"
575,1.12,3.0,43.0,2.0,9.0,1.0,19500.0,"Днепровская наб., 16г, Дарницкий р-н"
576,1.12,1.0,50.0,2.0,3.0,1.0,18000.0,"Заречная ул., 2, Дарницкий р-н"
577,1.18,1.0,43.0,2.0,6.0,0.0,9000.0,"Булаховского академика ул., 30а, Святошинский р-н"
578,2.87,1.0,53.0,1.0,9.0,0.0,35750.0,"Михаила Бойчука ул. (Киквидзе), 41-43, Печерский р-н"
579,1.19,3.0,40.0,1.0,5.0,1.0,15000.0,"Регенераторная ул., 4, Днепровский р-н"
580,1.19,3.0,50.0,2.0,4.0,0.0,12500.0,"Мира просп., 5, Днепровский р-н"
581,1.74,1.0,44.0,2.0,2.0,0.0,14500.0,"ул. Политехническая, 5а, Шевченковский р-н"
582,1.12,3.0,56.0,2.0,2.0,0.0,12000.0,"Ахматовой Анны ул., 19, Дарницкий р-н"
583,1.22,1.0,36.0,1.0,8.0,0.0,10000.0,"Оболонский просп., 11, Оболонский р-н"
584,2.87,1.0,115.0,3.0,4.0,0.0,35750.0,"Шелковичная ул., 10, Печерский р-н"
585,2.87,1.0,85.0,2.0,7.0,0.0,20625.0,"Василия Тютюнника ул. (Барбюса Анри), 16, Печерский р-н"
586,1.19,3.0,28.0,1.0,15.0,1.0,11000.0,"Полевая ул., 73, Соломенский р-н"
587,2.87,1.0,50.0,2.0,16.0,1.0,24000.0,"Джона Маккейна ул. (Кудри Ивана), 1б, Печерский р-н"
588,1.74,1.0,75.0,2.0,17.0,0.0,16000.0,"Глубочицкая ул., 73, Шевченковский р-н"
589,1.53,3.0,52.0,2.0,19.0,0.0,16000.0,"Конева ул., 12А, Голосеевский р-н"
590,1.29,3.0,78.0,2.0,12.0,1.0,13000.0,"Сергея Данченко ул., 1, Подольский р-н"
591,2.87,1.0,62.0,2.0,4.0,0.0,41250.0,"Кропивницкого ул., 6, Печерский р-н"
592,1.19,3.0,70.0,2.0,8.0,0.0,19000.0,"Эрнста ул., 16, Соломенский р-н"
593,2.87,1.0,92.0,3.0,11.0,0.0,41250.0,"Евгения Коновальца ул. (Щорса), 44Б, Печерский р-н"
594,1.19,1.0,45.0,1.0,13.0,0.0,12000.0,"Панельная ул., 7, Днепровский р-н"
595,1.29,1.0,45.0,2.0,13.0,0.0,15500.0,"Тираспольская ул., 54, Подольский р-н"
596,1.12,3.0,92.0,3.0,5.0,0.0,13750.0,"Бориса Гмыри ул., 13, Дарницкий р-н"
597,1.74,1.0,156.0,3.0,8.0,0.0,68750.0,"Владимирская ул., 79, Шевченковский р-н"
598,1.19,3.0,118.0,3.0,5.0,1.0,20000.0,"Лобановского просп. (Краснозвездный), 4В, Соломенский р-н"
599,1.19,2.0,44.0,2.0,5.0,0.0,9000.0,"Воздухофлотский просп., 3, Соломенский р-н"
600,1.12,1.0,125.0,3.0,20.0,0.0,44000.0,"Заречная ул., 1Б, Дарницкий р-н"
601,1.53,3.0,30.0,1.0,2.0,0.0,10500.0,"Дмитрия Луценко ул. (Крейсера 'Аврора'), 8а, Голосеевский р-н"
602,1.19,1.0,43.0,2.0,5.0,0.0,9000.0,"Воздухофлотский просп., 5, Соломенский р-н"
603,1.19,3.0,120.0,3.0,6.0,1.0,20000.0,"Лобановского просп. (Краснозвездный), 4Г, Соломенский р-н"
604,1.53,1.0,46.0,1.0,9.0,0.0,16500.0,"Задорожный пер., 6а, Голосеевский р-н"
605,1.74,1.0,64.0,1.0,4.0,0.0,55000.0,"Стрелецкая ул., 7/6, Шевченковский р-н"
606,2.87,1.0,94.1,2.0,6.0,0.0,35750.0,"Василия Тютюнника ул. (Барбюса Анри), 5в, Печерский р-н"
607,2.87,1.0,68.0,2.0,8.0,0.0,35750.0,"Евгения Коновальца ул. (Щорса), 36е, Печерский р-н"
608,1.12,1.0,65.0,2.0,2.0,1.0,20000.0,"Осокорская ул., 2а, Дарницкий р-н"
609,1.29,3.0,45.0,1.0,14.0,0.0,20000.0,"ул. Выговского, 10к, Подольский р-н"
610,2.87,1.0,52.0,1.0,5.0,0.0,22000.0,"Лумумбы Патриса ул., 11, Печерский р-н"
611,1.19,1.0,50.0,2.0,12.0,0.0,24750.0,"Никольско-Слободская ул., 3б, Днепровский р-н"
612,1.74,1.0,37.0,1.0,26.0,0.0,21000.0,"Победы просп., 5в, Шевченковский р-н"
613,1.74,1.0,37.0,1.0,26.0,0.0,21000.0,"Победы просп., 5в, Шевченковский р-н"
614,2.87,1.0,96.0,3.0,11.0,0.0,25000.0,"Евгения Коновальца ул. (Щорса), 44а, Печерский р-н"
615,1.19,1.0,57.0,2.0,17.0,1.0,24750.0,"Никольско-Слободская ул., 3б, Днепровский р-н"
616,1.19,1.0,70.0,3.0,2.0,0.0,17000.0,"Кудряшова ул., 7, Соломенский р-н"
617,1.74,1.0,74.0,2.0,4.0,0.0,27500.0,"Хмельницкого Богдана ул., 57, Шевченковский р-н"
618,1.74,1.0,31.0,1.0,7.0,0.0,8800.0,"Щусева академика ул., 42, Шевченковский р-н"
619,1.74,1.0,164.0,4.0,4.0,0.0,40975.0,"Боткіна, 4, Шевченковский р-н"
620,1.19,3.0,45.0,1.0,16.0,0.0,12000.0,"Героев Севастополя ул., 35А, Соломенский р-н"
621,1.19,3.0,58.0,1.0,12.0,0.0,17000.0,"Лобановского просп. (Краснозвездный), 9/1, Соломенский р-н"
622,1.74,1.0,56.0,2.0,3.0,0.0,19250.0,"Пушкинская ул., 11, Шевченковский р-н"
623,1.19,3.0,126.0,2.0,12.0,0.0,28000.0,"Тычины Павла просп., 18 Б, Днепровский р-н"
624,2.87,1.0,50.0,1.0,19.0,1.0,27500.0,"Предславинская ул., 53, Печерский р-н"
625,2.87,1.0,60.0,2.0,3.0,0.0,14000.0,"Резницкая ул., 8, Печерский р-н"
626,1.19,2.0,32.0,1.0,5.0,0.0,7000.0,"Пожарского ул., 1, Днепровский р-н"
627,1.53,3.0,110.0,3.0,4.0,0.0,26125.0,"каземира малевича , 53/30, Голосеевский р-н"
628,2.87,1.0,65.0,2.0,3.0,0.0,20625.0,"Круглоуниверситетская ул., 13, Печерский р-н"
629,2.87,1.0,60.0,2.0,7.0,0.0,19500.0,"Крещатик, 17, Печерский р-н"
630,1.12,1.0,53.0,2.0,15.0,1.0,15000.0,"Харьковское шоссе, 190, Дарницкий р-н"
631,1.74,1.0,40.0,1.0,2.0,0.0,15000.0,"Глубочицкая ул., 13, Шевченковский р-н"
632,2.87,1.0,133.6,3.0,23.0,0.0,55000.0,"Евгения Коновальца ул. (Щорса), 32г, Печерский р-н"
633,1.18,1.0,36.0,1.0,7.0,0.0,7500.0,"Ушакова Николая ул., 6, Святошинский р-н"
634,1.29,2.0,70.0,2.0,2.0,0.0,14000.0,"Гонгадзе Георгия просп. (Советской Украины), 18д, Подольский р-н"
635,1.12,3.0,86.0,2.0,8.0,0.0,12000.0,"Урловская ул., 11/44, Дарницкий р-н"
636,1.12,3.0,104.0,3.0,9.0,0.0,27500.0,"Днепровская наб., 23, Дарницкий р-н"
637,1.74,1.0,48.0,1.0,5.0,0.0,24750.0,"Старокиевская ул., 2, Шевченковский р-н"
638,1.53,1.0,84.0,2.0,14.0,1.0,27500.0,"Ломоносова ул., 71з, Голосеевский р-н"
639,1.74,1.0,70.0,2.0,4.0,0.0,22000.0,"Саксаганского ул., 127, Шевченковский р-н"
640,1.19,2.0,46.0,2.0,2.0,0.0,12000.0,"Богдановская ул., 5А, Соломенский р-н"
641,1.18,1.0,47.0,1.0,2.0,0.0,9500.0,"Вернадского академика бульв., 57, Святошинский р-н"
642,2.87,1.0,50.0,1.0,24.0,0.0,35750.0,"Подвысоцкого профессора ул., 4В, Печерский р-н"
643,1.22,1.0,45.0,1.0,3.0,0.0,9500.0,"Кондратюка Юрия ул., 3, Оболонский р-н"
644,1.74,1.0,27.0,1.0,4.0,0.0,13000.0,"Белорусская ул., 13, Шевченковский р-н"
645,2.87,1.0,46.0,1.0,3.0,0.0,23375.0,"Джона Маккейна ул. (Кудри Ивана), 1, Печерский р-н"
646,2.87,1.0,93.0,2.0,10.0,0.0,23000.0,"Московская ул., 46/2, Печерский р-н"
647,2.87,1.0,30.0,1.0,4.0,0.0,9000.0,"Кловский спуск, 20, Печерский р-н"
648,2.87,1.0,49.0,2.0,9.0,0.0,12000.0,"Евгения Коновальца ул. (Щорса), 15/1, Печерский р-н"
649,1.74,1.0,30.0,1.0,3.0,0.0,9999.0,"Деревлянская ул. (Якира), 16/18, Шевченковский р-н"
650,1.74,1.0,88.0,3.0,8.0,1.0,22000.0,"Рижская ул., 73 Г, Шевченковский р-н"
651,1.18,1.0,45.0,2.0,3.0,0.0,9700.0,"Туполева академика ул., 17, Святошинский р-н"
652,2.87,1.0,30.0,1.0,1.0,0.0,10000.0,"Бастионная ул., 5а, Печерский р-н"
653,1.19,3.0,45.0,2.0,3.0,0.0,7000.0,"Русановский бульв., 6, Днепровский р-н"
654,1.19,3.0,32.0,1.0,2.0,0.0,8000.0,"Харьковское шоссе, 5/2, Днепровский р-н"
655,1.19,2.0,28.0,1.0,5.0,0.0,7500.0,"Строителей ул., 12, Днепровский р-н"
656,1.19,1.0,80.0,3.0,8.0,1.0,23000.0,"Богдановская ул., 7б, Соломенский р-н"
657,1.29,3.0,30.0,1.0,9.0,0.0,11000.0,"Петропавловская ул., 14, Подольский р-н"
658,1.18,1.0,55.0,2.0,11.0,0.0,9500.0,"Коласа Якуба ул., 13, Святошинский р-н"
659,1.18,3.0,31.0,1.0,9.0,1.0,10000.0,"Обуховская ул., 137а, Святошинский р-н"
660,1.53,1.0,50.0,1.0,4.0,0.0,13000.0,"Симоненка ул., 5а, Голосеевский р-н"
661,2.87,1.0,65.0,2.0,6.0,0.0,27500.0,"Крещатик, 17, Печерский р-н"
662,1.74,1.0,165.0,4.0,4.0,0.0,85250.0,"Ярославов Вал ул., 17а, Шевченковский р-н"
663,1.53,2.0,75.0,2.0,7.0,0.0,22000.0,"Толстого Льва ул., 25/1, Голосеевский р-н"
664,1.29,3.0,69.0,2.0,12.0,0.0,20000.0,"Правды просп., 43, Подольский р-н"
665,1.74,1.0,31.0,1.0,1.0,0.0,14000.0,"Рейтарская ул., 2, Шевченковский р-н"
666,1.53,3.0,52.0,2.0,14.0,0.0,16000.0,"Вильямса академика ул., 19/14, Голосеевский р-н"
667,1.12,3.0,40.0,1.0,3.0,0.0,7000.0,"Новаторов ул., 9, Дарницкий р-н"
668,1.74,1.0,34.0,1.0,2.0,0.0,7500.0,"Майбороды Платона ул. (Мануильского), 23, Шевченковский р-н"
669,1.22,3.0,87.0,2.0,4.0,0.0,27500.0,"Героев Сталинграда просп., 6, Оболонский р-н"
670,2.87,1.0,44.0,1.0,12.0,1.0,31625.0,"Джона Маккейна ул. (Кудри Ивана), 7, Печерский р-н"
671,1.74,1.0,65.0,3.0,4.0,0.0,18000.0,"Большая Житомирская ул., 6/11, Шевченковский р-н"
672,1.12,3.0,42.0,1.0,2.0,0.0,7500.0,"Волго-Донский пер., 2, Дарницкий р-н"
673,1.19,3.0,45.0,1.0,10.0,1.0,12000.0,"Воскресенская ул., 16, Днепровский р-н"
674,2.87,1.0,77.5,2.0,4.0,0.0,41250.0,"Институтская ул., 14, Печерский р-н"
675,1.22,1.0,36.0,1.0,11.0,0.0,9200.0,"Героев Сталинграда просп., 49б, Оболонский р-н"
676,1.22,1.0,35.0,1.0,6.0,0.0,9000.0,"Залки Мате ул., 10, Оболонский р-н"
677,1.22,1.0,30.0,1.0,2.0,0.0,9000.0,"Северная ул., 52, Оболонский р-н"
678,1.22,1.0,40.0,1.0,16.0,0.0,9000.0,"Петра Калнышевского ул. (Майорова Михаила), 7, Оболонский р-н"
679,1.22,1.0,36.0,1.0,10.0,0.0,9300.0,"Героев Сталинграда просп., 49а, Оболонский р-н"
680,2.87,1.0,42.0,1.0,22.0,1.0,27775.0,"Джона Маккейна ул. (Кудри Ивана), 1, Печерский р-н"
681,1.19,1.0,48.0,2.0,5.0,0.0,9000.0,"Перова бульв., 16, Днепровский р-н"
682,1.22,1.0,30.0,1.0,6.0,0.0,8900.0,"Героев Днепра ул., 6, Оболонский р-н"
683,1.22,1.0,35.0,1.0,11.0,0.0,8500.0,"Залки Мате ул., 4б, Оболонский р-н"
684,1.22,3.0,39.0,1.0,20.0,1.0,11500.0,"Петра Калнышевского ул. (Майорова Михаила), 6, Оболонский р-н"
685,1.22,3.0,44.0,1.0,5.0,1.0,9500.0,"Кондратюка Юрия ул., 3, Оболонский р-н"
686,1.22,3.0,38.0,1.0,20.0,1.0,10000.0,"Семьи Кульженков ул. (Дегтяренко Петра), 35, Оболонский р-н"
687,1.22,1.0,34.0,1.0,6.0,0.0,9500.0,"Героев Днепра ул., 57а, Оболонский р-н"
688,1.22,1.0,34.0,1.0,5.0,0.0,8500.0,"Героев Днепра ул., 38а, Оболонский р-н"
689,1.22,2.0,32.0,1.0,1.0,0.0,8500.0,"Рокоссовского маршала просп., 3в, Оболонский р-н"
690,1.22,1.0,28.0,1.0,6.0,0.0,7999.0,"Богатырская ул., 18а, Оболонский р-н"
691,1.22,1.0,35.0,1.0,5.0,0.0,10000.0,"Залки Мате ул., 3б, Оболонский р-н"
692,1.22,1.0,35.0,1.0,8.0,0.0,9800.0,"Залки Мате ул., 4, Оболонский р-н"
693,2.87,1.0,35.0,1.0,2.0,0.0,12000.0,"Гордиенко Костя пер., 3, Печерский р-н"
694,2.87,1.0,52.0,1.0,13.0,1.0,28000.0,"Михаила Бойчука ул. (Киквидзе), 41, Печерский р-н"
695,1.53,1.0,87.0,3.0,10.0,0.0,13500.0,"Максимовича ул. (Трутенко Онуфрия), 9в, Голосеевский р-н"
696,1.19,3.0,67.0,2.0,14.0,1.0,33000.0,"Липковского Василия ул. (Урицкого), 16а, Соломенский р-н"
697,1.74,1.0,50.0,2.0,2.0,0.0,18000.0,"Жабаева Жамбыла ул. (Кузьминская), 7д, Шевченковский р-н"
698,2.87,1.0,86.0,3.0,2.0,0.0,16000.0,"Подвысоцкого профессора ул., 10/10, Печерский р-н"
699,2.87,1.0,55.0,2.0,2.0,0.0,16000.0,"Мазепы Ивана ул. (Январского Восстания), 14, Печерский р-н"
700,1.18,1.0,63.0,2.0,3.0,0.0,15000.0,"Пушиной Феодоры ул., 19, Святошинский р-н"
701,1.19,3.0,45.0,2.0,4.0,0.0,12000.0,"Кудряшова ул., 2, Соломенский р-н"
702,1.0,1.0,48.0,2.0,8.0,0.0,13000.0,"Братиславская ул., 4, Деснянский р-н"
703,1.19,3.0,65.0,3.0,2.0,0.0,8000.0,"Соборности просп. (Воссоединения), 20, Днепровский р-н"
704,1.22,1.0,50.0,2.0,8.0,0.0,9500.0,"Оболонский просп., 10, Оболонский р-н"
705,2.87,1.0,76.0,1.0,8.0,0.0,27500.0,"Леси Украинки бульв., 7 А, Печерский р-н"
706,2.87,1.0,63.0,2.0,3.0,0.0,20000.0,"Мазепы Ивана ул. (Январского Восстания), 12б, Печерский р-н"
707,1.74,1.0,82.0,3.0,2.0,0.0,26000.0,"Ярославов Вал ул., 28, Шевченковский р-н"
708,1.12,3.0,50.0,1.0,6.0,0.0,8000.0,"Инженера Бородина, 6, Дарницкий р-н"
709,1.74,1.0,68.0,2.0,2.0,0.0,28000.0,"Гоголевская ул., 6а, Шевченковский р-н"
710,1.19,3.0,48.0,1.0,9.0,0.0,10900.0,"Юности ул., 8/2, Днепровский р-н"
711,1.12,3.0,75.0,2.0,4.0,0.0,18000.0,"Чавдар Елизаветы ул., 4, Дарницкий р-н"
712,1.74,1.0,46.0,2.0,3.0,0.0,9000.0,"Туполева академика ул., 28, Шевченковский р-н"
713,1.19,3.0,45.0,2.0,4.0,0.0,9000.0,"Ереванская ул., 14 г, Соломенский р-н"
714,2.87,1.0,53.0,1.0,6.0,0.0,25000.0,"Лейпцигская ул., 13А, Печерский р-н"
715,1.22,1.0,100.0,3.0,20.0,0.0,25000.0,"Тимошенко маршала ул., 13А, Оболонский р-н"
716,1.74,1.0,35.0,1.0,8.0,1.0,15000.0,"Салютная ул., 2, Шевченковский р-н"
717,1.74,1.0,80.0,3.0,2.0,0.0,30250.0,"Хмельницкого Богдана ул., 9, Шевченковский р-н"
718,1.74,1.0,63.0,2.0,2.0,0.0,19000.0,"Юрия Ильенко ул. (Мельникова), 51Б, Шевченковский р-н"
719,1.74,1.0,53.0,2.0,2.0,0.0,17000.0,"Михайловская ул., 22А, Шевченковский р-н"
720,1.53,1.0,41.0,1.0,26.0,1.0,16000.0,"Голосеевский просп. (40-летия Октября), 95А, Голосеевский р-н"
721,1.53,1.0,73.0,3.0,21.0,0.0,20000.0,"Саперно-Слободская ул., 22, Голосеевский р-н"
722,1.53,3.0,68.0,2.0,19.0,0.0,19250.0,"Моторный пер., 11, Голосеевский р-н"
723,1.29,1.0,48.0,1.0,4.0,1.0,30000.0,"Набережно-Рыбальская дорога ул., 3, Подольский р-н"
724,1.53,1.0,46.0,1.0,4.0,1.0,16800.0,"Юношеская ул., 4, Голосеевский р-н"
725,1.22,1.0,45.0,2.0,15.0,0.0,12500.0,"Героев Сталинграда просп., 49, Оболонский р-н"
726,1.19,3.0,78.0,3.0,2.0,0.0,17000.0,"Липковского Василия ул. (Урицкого), 40, Соломенский р-н"
727,1.22,1.0,73.0,3.0,5.0,0.0,12000.0,"Героев Сталинграда просп., 14, Оболонский р-н"
728,1.12,3.0,37.8,1.0,4.0,1.0,10500.0,"Пчелки Елены ул., 3в, Дарницкий р-н"
729,1.12,3.0,31.0,1.0,11.0,0.0,10000.0,"Каменская ул. (Днепродзержинская), 6, Дарницкий р-н"
730,2.87,1.0,98.0,3.0,4.0,0.0,46750.0,"Заньковецкой ул., 6, Печерский р-н"
731,1.22,1.0,67.0,2.0,3.0,1.0,41250.0,"Оболонская наб., 1К1, Оболонский р-н"
732,2.87,1.0,134.0,3.0,10.0,0.0,55000.0,"Леси Украинки бульв., 7б, Печерский р-н"
733,1.22,1.0,55.0,2.0,16.0,1.0,27500.0,"Тимошенко маршала ул., 21, Оболонский р-н"
734,1.29,3.0,40.0,1.0,18.0,1.0,15500.0,"Правды просп., 41а, Подольский р-н"
735,1.19,1.0,80.0,2.0,28.0,0.0,21000.0,"ул. Соборности, 30, Днепровский р-н"
736,1.74,1.0,76.0,3.0,4.0,0.0,20000.0,"Татарская ул., 2д, Шевченковский р-н"
737,1.74,1.0,72.0,3.0,2.0,0.0,35750.0,"Пушкинская ул., 2-4/7, Шевченковский р-н"
738,2.87,1.0,60.0,2.0,3.0,0.0,15000.0,"Леси Украинки бульв., 29, Печерский р-н"
739,1.18,1.0,48.0,1.0,5.0,0.0,11000.0,"Краснова Николая ул., 19, Святошинский р-н"
740,1.19,1.0,50.0,1.0,7.0,0.0,13500.0,"Никольско-Слободская ул., 2б, Днепровский р-н"
742,1.18,3.0,20.0,1.0,2.0,0.0,5500.0,"Зодчих ул., 12, Святошинский р-н"
743,1.18,1.0,32.0,1.0,1.0,0.0,7000.0,"Зодчих ул., 80, Святошинский р-н"
744,1.19,1.0,49.0,1.0,6.0,1.0,17500.0,"Патриарха Мстислава Скрипника ул., 40, Соломенский р-н"
745,2.87,1.0,72.0,2.0,20.0,1.0,35000.0,"Саперное Поле ул., 14/55, Печерский р-н"
746,1.19,3.0,52.0,2.0,12.0,1.0,19250.0,"Липковского Василия ул. (Урицкого), 33а, Соломенский р-н"
747,1.19,3.0,46.0,1.0,9.0,0.0,15500.0,"Донца Михаила ул., 2а, Соломенский р-н"
748,1.53,1.0,75.0,2.0,9.0,0.0,17000.0,"Ломоносова ул., 54, Голосеевский р-н"
749,1.74,1.0,32.0,1.0,9.0,0.0,12800.0,"Победы просп., 12, Шевченковский р-н"
750,1.19,3.0,53.0,1.0,5.0,0.0,11000.0,"Воздухофлотский просп., 58, Соломенский р-н"
751,1.53,3.0,49.0,1.0,20.0,0.0,18000.0,"Демиевская ул., 18, Голосеевский р-н"
752,1.18,3.0,27.0,1.0,23.0,1.0,9625.0,"Обуховская ул., 139, Святошинский р-н"
753,1.12,1.0,55.0,2.0,5.0,0.0,24750.0,"Трускавецкая ул., 4б, Дарницкий р-н"
754,1.74,1.0,47.0,2.0,1.0,0.0,10000.0,"Парково-Сырецкая ул. (Шамрыло Тимофея), 12б, Шевченковский р-н"
755,2.87,1.0,97.0,2.0,23.0,1.0,23000.0,"Евгения Коновальца ул. (Щорса), 44а, Печерский р-н"
756,1.19,3.0,44.0,2.0,2.0,0.0,12500.0,"Алексеевская ул., 5, Соломенский р-н"
758,1.18,1.0,31.0,1.0,5.0,0.0,9500.0,"Победы просп., 104, Святошинский р-н"
759,1.19,3.0,70.0,3.0,6.0,0.0,11000.0,"Стальского Сулеймана ул., 24Б, Днепровский р-н"
760,1.22,3.0,43.0,1.0,23.0,0.0,13000.0,"Петра Калнышевского ул. (Майорова Михаила), 7, Оболонский р-н"
762,1.19,3.0,114.0,3.0,13.0,0.0,18000.0,"Смелянская ул., 15, Соломенский р-н"
763,2.87,1.0,50.0,1.0,23.0,0.0,35750.0,"Подвысоцкого профессора ул., 4В, Печерский р-н"
765,1.18,3.0,28.0,1.0,1.0,0.0,7000.0,"Потапова генерала ул., 10а, Святошинский р-н"
766,1.29,3.0,31.0,1.0,8.0,0.0,8000.0,"Светлицкого ул., 24, Подольский р-н"
767,1.74,1.0,44.0,2.0,2.0,0.0,10500.0,"Дегтяревская ул., 58, Шевченковский р-н"
768,1.53,1.0,47.0,1.0,4.0,0.0,13750.0,"Сеченова ул., 7а, Голосеевский р-н"
769,1.22,3.0,55.0,1.0,5.0,0.0,18000.0,"Оболонская наб., 3, Оболонский р-н"
770,1.53,3.0,75.0,2.0,6.0,1.0,29000.0,"Антоновича ул. (Горького), 109, Голосеевский р-н"
771,1.53,3.0,56.0,2.0,14.0,0.0,20625.0,"Глушкова академика просп., 9в, Голосеевский р-н"
772,1.53,2.0,52.0,2.0,1.0,0.0,11000.0,"Якубовского маршала ул., 2, Голосеевский р-н"
773,1.19,3.0,45.0,2.0,5.0,0.0,7000.0,"Перова бульв., 42б, Днепровский р-н"
774,2.87,1.0,148.0,3.0,3.0,0.0,48840.0,"Саперное Поле ул., 12, Печерский р-н"
775,1.19,3.0,148.0,3.0,3.0,0.0,48840.0,"Протасов Яр ул., 8, Соломенский р-н"
776,1.53,3.0,34.0,1.0,9.0,0.0,12000.0,"Голосеевский просп. (40-летия Октября), 21, Голосеевский р-н"
777,2.87,1.0,40.3,2.0,1.0,0.0,10000.0,"Дружбы Народов бульв., 25, Печерский р-н"
778,1.22,3.0,46.0,1.0,16.0,1.0,10000.0,"Кондратюка Юрия ул., 5, Оболонский р-н"
779,1.22,3.0,46.0,2.0,2.0,0.0,11500.0,"Минский просп., 6А, Оболонский р-н"
780,1.74,1.0,44.0,2.0,4.0,0.0,8800.0,"Ольжича ул., 14, Шевченковский р-н"
781,1.19,3.0,45.0,2.0,2.0,0.0,10000.0,"Русановская набережная ул., 4, Днепровский р-н"
782,1.22,3.0,40.0,1.0,26.0,0.0,9000.0,"Петра Калнышевского ул. (Майорова Михаила), 7, Оболонский р-н"
783,1.53,1.0,64.0,2.0,3.0,1.0,30250.0,"Жилянская ул., 59, Голосеевский р-н"
784,1.22,1.0,33.0,1.0,9.0,0.0,9625.0,"Залки Мате ул., 4, Оболонский р-н"
785,1.12,2.0,44.0,1.0,12.0,1.0,10000.0,"Урловская ул., 38, Дарницкий р-н"
786,1.19,3.0,40.0,2.0,8.0,0.0,11000.0,"Харьковское шоссе, 19, Днепровский р-н"
787,1.19,3.0,48.0,2.0,4.0,0.0,9000.0,"Василенко Николая ул., 25, Соломенский р-н"
788,1.18,3.0,37.0,1.0,3.0,0.0,6800.0,"Юры Гната ул., 1, Святошинский р-н"
789,1.29,1.0,34.0,1.0,2.0,0.0,9000.0,"Межигорская ул., 54, Подольский р-н"
790,1.19,3.0,45.0,1.0,20.0,1.0,15000.0,"Отрадный просп. (Чубаря), 2, Соломенский р-н"
791,1.53,2.0,28.0,1.0,2.0,0.0,10500.0,"Луценко, 8, Голосеевский р-н"
792,1.22,3.0,44.0,2.0,3.0,0.0,11500.0,"Оболонский просп., 16е, Оболонский р-н"
793,2.87,1.0,125.0,4.0,22.0,0.0,110000.0,"Драгомирова ул., 15, Печерский р-н"
794,2.87,1.0,360.0,5.0,21.0,0.0,550000.0,"Драгомирова ул., 20, Печерский р-н"
795,2.87,1.0,200.0,5.0,25.0,1.0,220000.0,"Драгомирова ул., 15, Печерский р-н"
796,1.12,3.0,60.0,1.0,20.0,0.0,15900.0,"Мишуги Александра ул., 12, Дарницкий р-н"
797,2.87,1.0,55.0,2.0,11.0,1.0,33000.0,"Василия Тютюнника ул. (Барбюса Анри), 37/1, Печерский р-н"
799,1.74,1.0,45.0,2.0,2.0,0.0,10999.0,"Лукьяновская ул., 79, Шевченковский р-н"
800,1.0,3.0,50.0,1.0,25.0,0.0,8000.0,"Милославская ул., 16, Деснянский р-н"
801,1.74,1.0,45.0,2.0,4.0,0.0,20000.0,"Гоголевская ул., 5, Шевченковский р-н"
802,2.87,1.0,54.0,3.0,5.0,0.0,18000.0,"Тверской тупик, 6/8, Печерский р-н"
803,1.74,1.0,101.0,3.0,5.0,0.0,33000.0,"Полтавская ул., 10, Шевченковский р-н"
804,1.53,3.0,27.0,1.0,8.0,0.0,6200.0,"Дмитрия Луценко ул. (Крейсера 'Аврора'), 5Б, Голосеевский р-н"
805,1.18,3.0,88.0,2.0,12.0,1.0,14500.0,"Кольцова бульв., 14К, Святошинский р-н"
806,1.29,3.0,61.9,2.0,1.0,1.0,14500.0,"Тираспольская ул., 54, Подольский р-н"
807,1.19,1.0,52.0,2.0,8.0,0.0,12500.0,"Митрополита Андрея Шептицкого ул. (Луначарского Анатолия), 1/2, Днепровский р-н"
