,district,metro,area,rooms,floor,gk,price,adress
58,2.87,1.0,38.0,1.0,7.0,0.0,16000.0,"Генерала Алмазова ул. (Кутузова), 14, Печерский р-н"
59,1.22,1.0,90.0,2.0,8.0,0.0,19990.0,"Героев Сталинграда просп., 47а, Оболонский р-н"
60,1.19,3.0,35.0,1.0,6.0,0.0,10500.0,"Березняковская ул., 12, Днепровский р-н"
61,2.87,1.0,90.0,2.0,21.0,0.0,1300.0,"Старонаводницкая ул., 6Б, Печерский р-н"
62,1.22,1.0,75.0,2.0,16.0,0.0,27500.0,"Героев Сталинграда просп., 2-Д, Оболонский р-н"
63,1.53,1.0,110.0,3.0,9.0,0.0,17000.0,"Науки просп., 69, Голосеевский р-н"
64,1.19,3.0,44.0,2.0,1.0,0.0,7500.0,"Антонова авиаконструктора ул., 43, Соломенский р-н"
65,1.74,1.0,86.0,2.0,27.0,1.0,57000.0,"Жилянская ул., 118, Шевченковский р-н"
66,2.87,1.0,54.0,2.0,4.0,0.0,17000.0,"Большая Васильковская ул. (Красноармейская), 111/113, Печерский р-н"
67,1.22,3.0,76.0,2.0,25.0,1.0,19000.0,"Кондратюка Юрия ул., 3, Оболонский р-н"
68,1.12,3.0,52.0,1.0,22.0,0.0,8500.0,"Кошица Александра ул., 9Б, Дарницкий р-н"
69,1.18,1.0,27.0,1.0,3.0,0.0,6400.0,"Желудева ул., 5А, Святошинский р-н"
70,1.29,1.0,65.0,3.0,4.0,0.0,23000.0,"Ярославская ул., 39, Подольский р-н"
71,1.29,2.0,52.0,2.0,5.0,0.0,18000.0,"Почайнинская ул., 35, Подольский р-н"
72,1.74,1.0,36.0,1.0,1.0,0.0,7000.0,"Нагорная ул., 12, Шевченковский р-н"
73,1.74,1.0,65.0,2.0,3.0,0.0,12000.0,"Победы просп., 67е, Шевченковский р-н"
74,1.19,1.0,55.0,2.0,7.0,0.0,15000.0,"Окипной Раисы ул., 7а, Днепровский р-н"
75,1.74,1.0,36.0,1.0,29.0,1.0,15900.0,"Победы просп., 5в, Шевченковский р-н"
76,1.19,3.0,50.0,2.0,3.0,0.0,12500.0,"Василенко Николая ул., 13 а, Соломенский р-н"
77,1.74,1.0,72.0,2.0,26.0,0.0,24000.0,"Победы просп., 5в, Шевченковский р-н"
78,1.19,1.0,32.0,1.0,5.0,0.0,7000.0,"Бойченко Александра ул., 7, Днепровский р-н"
79,1.74,1.0,90.0,3.0,3.0,0.0,46750.0,"Ярославов Вал ул., 19, Шевченковский р-н"
80,1.53,1.0,46.0,1.0,2.0,1.0,20000.0,"Юношеская ул., 17, Голосеевский р-н"
81,1.53,1.0,30.0,1.0,2.0,0.0,12000.0,"Бурмистенко ул., 6 к.2, Голосеевский р-н"
82,1.12,1.0,85.0,3.0,7.0,1.0,28000.0,"Заречная ул., 3А, Дарницкий р-н"
83,2.87,1.0,185.0,3.0,7.0,0.0,68750.0,"Василия Тютюнника ул. (Барбюса Анри), 37/1, Печерский р-н"
85,1.19,3.0,35.0,1.0,12.0,1.0,10000.0,"Харьковское шоссе, 15а, Днепровский р-н"
86,1.53,1.0,88.0,3.0,14.0,0.0,77000.0,"Антоновича ул. (Горького), 44, Голосеевский р-н"
87,2.87,1.0,25.0,1.0,3.0,0.0,7500.0,"Соловцова Николая ул., 6, Печерский р-н"
88,2.87,1.0,52.0,2.0,5.0,0.0,10999.0,"Вишни Остапа ул., 5, Печерский р-н"
89,1.19,1.0,36.0,1.0,9.0,0.0,9999.0,"Нищинского Петра ул., 6, Соломенский р-н"
90,1.0,3.0,58.0,1.0,17.0,1.0,12000.0,"Кубанской Украины ул. (Жукова маршала), 31а, Деснянский р-н"
91,1.74,1.0,200.0,5.0,6.0,0.0,96250.0,"Гончара Олеся ул., 47б, Шевченковский р-н"
92,1.12,1.0,41.0,1.0,12.0,1.0,9500.0,"Светлая ул., 3д, Дарницкий р-н"
93,1.29,3.0,60.0,2.0,5.0,0.0,11000.0,"Ветряные Горы ул., 2а, Подольский р-н"
94,1.19,2.0,45.0,2.0,3.0,0.0,8000.0,"Шалетт, 6, Днепровский р-н"
95,1.53,1.0,39.0,1.0,8.0,0.0,14000.0,"Максимовича ул. (Трутенко Онуфрия), 28б, Голосеевский р-н"
96,1.0,3.0,62.0,3.0,7.0,0.0,8800.0,"Курчатова академика ул., 18, Деснянский р-н"
97,1.0,3.0,36.2,1.0,2.0,0.0,9700.0,"Кисловодская ул., 100, Деснянский р-н"
98,2.87,1.0,50.0,1.0,4.0,0.0,14500.0,"Институтская ул., 27/6, Печерский р-н"
99,1.12,3.0,52.0,1.0,12.0,0.0,13000.0,"Вишняковская ул., 13В, Дарницкий р-н"
100,1.53,3.0,46.0,2.0,22.0,1.0,11500.0,"Приміська, 26, Голосеевский р-н"
101,1.74,1.0,98.0,3.0,10.0,0.0,21000.0,"Тургеневская ул., 29, Шевченковский р-н"
102,1.12,1.0,170.0,4.0,23.0,0.0,29500.0,"Бажана Николая просп., 1 М, Дарницкий р-н"
103,1.12,1.0,73.0,2.0,20.0,0.0,16000.0,"Бориса Гмыри ул., 2, Дарницкий р-н"
104,1.0,3.0,38.0,1.0,2.0,0.0,6000.0,"Драйзера Теодора ул., 9в, Деснянский р-н"
105,1.74,1.0,55.0,2.0,22.0,0.0,24750.0,"Победы просп., 5 В, Шевченковский р-н"
106,1.12,3.0,47.0,1.0,16.0,1.0,12000.0,"Пчелки Елены ул., 3, Дарницкий р-н"
107,1.12,1.0,46.0,1.0,13.0,1.0,12500.0,"Каменская ул. (Днепродзержинская), 6, Дарницкий р-н"
108,1.53,1.0,85.0,2.0,20.0,0.0,41250.0,"Саксаганского, 37к, Голосеевский р-н"
109,1.53,1.0,120.0,3.0,4.0,0.0,110000.0,"Демиевская ул., 29, Голосеевский р-н"
110,1.29,3.0,43.0,2.0,11.0,1.0,14200.0,"Правды просп., 41Г, Подольский р-н"
111,1.19,2.0,51.0,1.0,14.0,0.0,15500.0,"Гарматная ул., 37А, Соломенский р-н"
112,1.74,1.0,33.0,1.0,3.0,0.0,7500.0,"Данила Щербаковского ул. (Щербакова), 44, Шевченковский р-н"
113,1.22,3.0,40.0,1.0,15.0,1.0,9500.0,"Петра Калнышевского ул. (Майорова Михаила), 6, Оболонский р-н"
114,1.12,1.0,50.0,2.0,14.0,1.0,14000.0,"Заречная ул., 1, Дарницкий р-н"
115,1.53,1.0,84.0,2.0,15.0,1.0,25000.0,"Лобановского просп., 144, Голосеевский р-н"
116,1.19,3.0,70.0,2.0,2.0,0.0,16500.0,"Антонова авиаконструктора ул., 2б, Соломенский р-н"
117,1.22,1.0,80.0,2.0,7.0,1.0,21000.0,"Героев Сталинграда просп., 2Д, Оболонский р-н"
118,1.22,3.0,46.0,2.0,4.0,0.0,6200.0,"Восьмого Марта ул., 7, Оболонский р-н"
119,1.29,3.0,35.0,1.0,14.0,0.0,9000.0,"Правды просп., 74, Подольский р-н"
120,1.74,1.0,60.0,3.0,5.0,0.0,35750.0,"Кудрявская ул., 8а, Шевченковский р-н"
121,1.19,3.0,65.0,2.0,23.0,1.0,20000.0,"Шумского Юрия ул., 3Г, Днепровский р-н"
122,2.87,1.0,85.0,2.0,7.0,0.0,63250.0,"Драгомирова ул., 15, Печерский р-н"
123,1.74,1.0,30.0,1.0,14.0,0.0,15000.0,"Победы просп., 5в, Шевченковский р-н"
124,1.53,3.0,50.0,2.0,14.0,0.0,16000.0,"Вильямса академика ул., 19/14, Голосеевский р-н"
125,2.87,1.0,35.0,1.0,7.0,0.0,13500.0,"саксаганського, 12б, Печерский р-н"
126,1.12,3.0,40.0,1.0,11.0,0.0,9000.0,"Гришко Михаила ул., 10, Дарницкий р-н"
127,1.19,3.0,50.0,1.0,15.0,0.0,12000.0,"Борщаговская ул., 206, Соломенский р-н"
128,1.18,1.0,48.0,1.0,5.0,0.0,8000.0,"Наумова генерала ул., 66, Святошинский р-н"
129,1.19,1.0,65.0,2.0,12.0,0.0,15000.0,"Никольско-Слободская ул., 2Б, Днепровский р-н"
130,1.53,3.0,52.0,2.0,2.0,0.0,14990.0,"Вильямса академика ул., 15, Голосеевский р-н"
131,1.29,3.0,34.0,1.0,6.0,0.0,7300.0,"Светлицкого ул., 26б, Подольский р-н"
132,1.22,1.0,34.0,1.0,17.0,0.0,10000.0,"Петра Калнышевского ул. (Майорова Михаила), 8, Оболонский р-н"
133,1.74,1.0,38.0,1.0,7.0,1.0,20000.0,"Победы просп., 67, Шевченковский р-н"
134,2.87,1.0,87.0,3.0,10.0,1.0,55000.0,"Джона Маккейна ул. (Кудри Ивана), 3а, Печерский р-н"
135,2.87,1.0,49.0,2.0,17.0,1.0,27500.0,"Предславинская ул., 40, Печерский р-н"
136,1.22,1.0,80.0,2.0,3.0,0.0,12600.0,"Героев Сталинграда , 20а, Оболонский р-н"
137,1.74,1.0,82.0,2.0,3.0,0.0,41250.0,"Франко Ивана ул., 42, Шевченковский р-н"
138,1.22,3.0,43.0,1.0,4.0,0.0,9000.0,"Балтийский пер., 3, Оболонский р-н"
139,1.53,2.0,60.0,1.0,11.0,0.0,16000.0,"Голосеевская пл., 13А, Голосеевский р-н"
140,1.0,3.0,43.0,1.0,4.0,0.0,7200.0,"Закревского Николая ул., 95, Деснянский р-н"
141,1.19,3.0,52.0,2.0,9.0,0.0,9000.0,"Кавказская ул., 13, Соломенский р-н"
142,1.19,2.0,47.0,1.0,15.0,1.0,10999.0,"Харьковское шоссе, 19б, Днепровский р-н"
143,1.19,2.0,50.0,1.0,22.0,0.0,13000.0,"Краковская ул., 13В, Днепровский р-н"
144,1.12,3.0,36.0,1.0,8.0,1.0,10000.0,"Пчелки Елены ул., 7, Дарницкий р-н"
