district,metro,area,rooms,floor,gk,price,adress
1.19,3,22.0,1,4,0,6500,"
ул. Пражская, 19, Киев
"
1.53,1,60.0,2,4,1,42900,"
ул. Саксаганского, 37к, Киев
"
1.29,1,140.0,4,4,1,96600,"
ул. Кожемяцкая, 14в, Киев
"
1.19,1,30.0,1,4,0,7500,"
ул. Малышко Андрея, 27, Киев
"
1.19,1,56.0,2,4,0,11000,"
ул. Челябинская, 9, Киев
"
1.74,1,55.0,2,4,0,14000,"
Победы просп., 19, Киев
"
1.22,1,66.0,2,4,0,15500,"
ул. Тимошенко Маршала, 2/4, Киев
"
1.74,1,60.0,2,4,0,25000,"
ул. Владимирская, 19а, Киев
"
1.22,1,130.0,3,4,0,35900,"
Героев Сталинграда просп., 12ж, Киев
"
1.19,1,36.0,1,4,0,6500,"
Труда бульв., 6/14, Киев
"
1.18,3,55.0,2,4,1,12000,"
ул. Стеценко, 75в, Киев
"
1.22,3,32.0,1,4,0,7500,"
ул. Кондратюка Юрия, 4а, Киев
"
1.12,3,50.0,1,4,0,10000,"
Григоренко Петра просп., 22/20, Киев
"
1.29,3,51.0,2,4,0,11000,"
Свободы просп., 4, Киев
"
1.22,1,49.0,2,4,0,10000,"
Оболонский просп., 10, Киев
"
2.87,1,298.0,6,4,1,82800,"
ул. Старонаводницкая, 13, Киев
"
1.22,3,146.0,3,4,0,55300,"
ул. Оболонская набережная, 3, Киев
"
2.87,1,170.0,4,4,1,30400,"
ул. Старонаводницкая, 13, Киев
"
1.22,3,95.0,3,4,0,15000,"
Героев Сталинграда просп., 64/56, Киев
"
1.22,3,56.0,2,4,1,15000,"
ул. Кондратюка Юрия, 3, Киев
"
1.22,1,51.0,2,4,0,14000,"
ул. Северная, 54б, Киев
"
1.22,3,50.0,1,4,1,15000,"
ул. Кондратюка Юрия, 5, Киев
"
1.22,3,49.0,2,4,0,8000,"
ул. Полярная, 3, Киев
"
2.87,1,54.0,2,3,0,16000,"
ул. Тютюнника Василия (Барбюса Анри), 22/26, Киев
"
1.19,3,45.0,2,2,1,18000,"
Гавела Вацлава бульв. (Лепсе Ивана), 6в, Киев
"
2.87,3,60.0,2,3,0,16500,"
ул. Бойчука Михаила (Киквидзе), 9/14, Киев
"
1.19,3,173.0,4,9,1,41000,"
ул. Механизаторов, 2, Киев
"
2.87,3,45.0,2,5,0,10500,"
ул. Рыбальская, 11, Киев
"
2.87,3,45.0,2,3,0,10000,"
ул. Лейпцигская, 12, Киев
"
1.19,3,55.0,2,23,1,15000,"
ул. Шумского Юрия, 3г, Киев
"
1.53,3,70.0,2,3,1,15000,"
ул. Луценко Дмитрия, 8а, Киев
"
2.87,3,40.0,1,4,0,12000,"
ул. Гусовского Сергея, 2, Киев
"
1.12,3,55.0,2,2,0,15000,"
ул. Драгоманова, 38а, Киев
"
2.87,3,100.0,3,13,0,19400,"
ул. Драгомирова Михаила, 2, Киев
"
1.19,3,59.0,2,7,0,13000,"
ул. Энтузиастов, 31, Киев
"
1.29,3,43.0,1,21,1,7500,"
ул. Данченко Сергея, 5, Киев
"
1.12,3,80.0,3,16,0,13500,"
ул. Крушельницкой Соломии, 15а, Киев
"
2.87,3,60.0,2,5,0,15000,"
Леси Украинки бульв., 1, Киев
"
1.22,3,55.0,25,4,0,8800,"
Оболонский просп., 15, Киев
"
1.0,3,46.0,1,4,1,7000,"
ул. Закревского Николая, 95, Киев
"
1.22,3,50.0,1,4,0,13900,"
Балтийский пер., 5, Киев
"
1.22,1,60.0,1,4,0,18000,"
Героев Сталинграда просп., 53б, Киев
"
2.87,1,90.0,2,4,1,25000,"
ул. Тютюнника Василия (Барбюса Анри), 37/1, Киев
"
1.12,1,100.0,3,4,0,18500,"
Григоренко Петра просп., 16, Киев
"
1.74,1,72.0,2,4,1,22000,"
ул. Герцена, 35, Киев
"
1.12,3,54.0,2,4,0,13000,"
ул. Драгоманова, 2, Киев
"
1.19,3,50.0,2,4,0,33200,"
ул. Патриарха Скрипника (Островского Николая), Киев
"
1.74,1,45.0,2,4,0,22100,"
Победы просп., 24, Киев
"
2.87,1,153.0,3,4,0,37300,"
ул. Рыбальская, 8, Киев
"
2.87,1,80.0,3,4,0,115000,"
ул. Крещатик, 25, Киев
"
1.53,1,110.0,3,2,0,23000,"
ул. Малевича Казимира (Боженко), 53/30, Киев
"
1.19,1,55.0,2,4,0,12000,"
ул. Гетьмана Вадима (Индустриальная), 40, Киев
"
1.18,3,35.0,1,4,0,8000,"
ул. Коласа Якуба, 13, Киев
"
1.18,3,50.0,2,4,0,9000,"
Королева просп., Киев
"
1.18,3,34.0,1,4,0,9000,"
ул. Юры Гната, 14в, Киев
"
1.18,3,35.0,1,4,0,10000,"
ул. Победы , 9, Киев
"
1.18,3,37.0,1,4,0,8000,"
ул. Булгакова, 4а, Киев
"
1.18,3,30.0,1,4,0,8000,"
ул. Королева Академика, Киев
"
1.18,1,52.0,2,4,0,11500,"
ул. Ирпенская, 70, Киев
"
1.18,1,50.0,2,4,0,11000,"
ул. Доброхотова Академика, 8, Киев
"
1.22,3,50.0,2,4,0,10000,"
Оболонский просп., Киев
"
1.18,3,75.0,2,4,1,13800,"
Кольцова бульв., 14ж, Киев
"
1.18,3,41.0,1,4,0,10000,"
ул. Верховинца Василия, Киев
"
1.18,3,37.0,1,4,0,7000,"
ул. Юры Гната, 1, Киев
"
1.19,3,48.0,2,4,0,10000,"
ул. Василенко Николая, Киев
"
1.22,1,48.0,2,4,0,11000,"
Оболонский просп., 14б, Киев
"
1.19,3,35.0,1,4,0,10000,"
ул. Липкивского Василия (Урицкого), 5, Киев
"
1.19,3,40.0,1,4,0,9500,"
Гавела Вацлава бульв. (Лепсе Ивана), 21б, Киев
"
1.18,3,55.0,2,4,1,8500,"
Кольцова бульв., 14к, Киев
"
1.22,1,37.0,1,4,0,10000,"
Героев Сталинграда просп., 9а, Киев
"
2.87,1,120.0,4,4,1,69100,"
ул. Тютюнника Василия (Барбюса Анри), 28а, Киев
"
2.87,3,170.0,4,17,1,74700,"
Дружбы Народов бульв., 14-16, Киев
"
2.87,1,165.0,3,4,0,82800,"
Кловский спуск, 7, Киев
"
2.87,1,119.0,3,4,0,55300,"
ул. Тютюнника Василия (Барбюса Анри), 5в, Киев
"
2.87,1,100.0,3,4,1,42800,"
Леси Украинки бульв., 7а, Киев
"
2.87,3,150.0,4,7,1,130000,"
ул. Бусловская, 12, Киев
"
2.87,3,55.0,1,2,0,25000,"
ул. Лейпцигская, 13а, Киев
"
1.53,3,37.0,1,2,0,15000,"
Голосеевский проспект (40-летия Октября просп.), Киев
"
1.19,3,55.0,1,20,0,20000,"
ул. Соломенская, 15а, Киев
"
1.22,3,90.0,3,10,1,27700,"
Героев Сталинграда просп., 10а, Киев
"
1.74,3,40.0,1,12,0,11000,"
Победы просп., 67, Киев
"
1.74,1,140.0,4,4,0,49800,"
ул. Большая Васильковская, 18, Киев
"
1.74,1,125.0,4,4,0,27000,"
ул. Дмитриевская, 80, Киев
"
2.87,1,160.0,3,4,1,124000,"
ул. Болсуновская (Струтинского Сергея), 2, Киев
"
2.87,1,144.0,3,4,1,111000,"
ул. Болсуновская (Струтинского Сергея), 2, Киев
"
1.53,1,250.0,4,4,0,88500,"
ул. Паньковская, 8, Киев
"
2.87,1,190.0,4,4,1,166000,"
Мичурина пер., 28, Киев
"
1.53,1,190.0,4,4,0,111000,"
ул. Толстого Льва, 29, Киев
"
1.74,1,175.0,4,4,0,138000,"
Шевченко Тараса бульв., 30, Киев
"
2.87,1,70.0,3,3,0,13000,"
ул. Ковпака, 3, Киев
"
2.87,1,140.0,4,5,0,26000,"
ул. Московская, 41, Киев
"
1.12,3,20.0,1,4,0,5500,"
Григоренко Петра просп., 1а, Киев
"
2.87,1,120.0,3,4,0,33200,"
ул. Ковпака, Киев
"
1.12,1,70.0,3,4,0,22500,"
ул. Заречная, 2, Киев
"
2.87,1,48.0,2,4,0,10500,"
ул. Рыбальская, Киев
"
2.87,1,52.0,2,4,0,16500,"
ул. Шелковичная, Киев
"
1.53,3,26.0,1,4,0,11000,"
ул. Максимовича Михаила (Трутенко Онуфрия), Киев
"
1.19,3,45.0,1,4,0,16000,"
ул. Богдановская, Киев
"
1.74,3,47.0,1,4,0,12000,"
ул. Саксаганского, Киев
"
1.74,3,60.0,2,4,0,27700,"
ул. Черновола Вячеслава, Киев
"
1.74,3,95.0,3,4,0,27700,"
ул. Павловская, Киев
"
1.19,3,41.0,1,4,0,12000,"
ул. Каховская (Никольская Слободка), Киев
"
1.12,3,60.0,2,4,0,11000,"
ул. Драгоманова, Киев
"
1.53,1,80.0,3,4,0,33700,"
ул. Малевича Казимира (Боженко), Киев
"
1.53,3,45.0,2,4,0,12000,"
ул. Ломоносова, Киев
"
1.53,3,42.0,1,4,0,12000,"
ул. Ломоносова, Киев
"
2.87,1,65.0,2,4,0,19400,"
ул. Панаса Мирного, 28а, Киев
"
1.53,1,110.0,3,4,0,22100,"
ул. Малевича Казимира (Боженко), Киев
"
1.22,1,41.0,1,4,0,9000,"
Дружбы Народов пл., Киев
"
1.29,3,50.0,1,4,0,13000,"
ул. Петропавловская, Киев
"
2.87,3,60.0,1,4,0,16500,"
ул. Коновальца Евгения (Щорса), Киев
"
1.19,1,54.0,2,4,0,11500,"
ул. Митрополита Андрея Шептицкого (Луначарского), Киев
"
1.12,1,40.0,1,4,0,11500,"
ул. Гмыри Бориса, Киев
"
1.12,1,53.0,1,4,0,12000,"
ул. Гришко Михаила, Киев
"
1.74,1,50.0,1,4,0,15000,"
Тбилисский пер., Киев
"
1.74,1,50.0,2,4,0,16000,"
ул. Златоустовская, Киев
"
1.19,3,45.0,1,4,0,13000,"
ул. Сверстюка Евгения (Расковой Марины), Киев
"
2.87,1,48.0,1,4,0,14500,"
Кловский спуск, Киев
"
1.74,3,55.0,2,4,0,12000,"
ул. Бакинская, Киев
"
1.19,3,50.0,2,4,0,16500,"
ул. Липкивского Василия (Урицкого), Киев
"
2.87,1,55.0,2,4,0,15000,"
Госпитальный пер., Киев
"
1.74,3,60.0,2,4,0,17000,"
ул. Сечевых Стрельцов (Артема), Киев
"
1.53,3,70.0,2,4,0,15000,"
ул. Луценко Дмитрия, Киев
"
1.19,3,50.0,2,4,0,15000,"
ул. Шумского Юрия, Киев
"
1.19,3,40.0,1,4,0,13000,"
ул. Каховская (Никольская Слободка), Киев
"
1.12,1,65.0,2,4,0,14000,"
ул. Гришко Михаила, Киев
"
1.12,1,70.0,3,4,0,16000,"
ул. Гмыри Бориса, Киев
"
1.12,1,75.0,2,4,0,14500,"
ул. Чавдар Елизаветы, Киев
"
1.12,1,45.0,2,4,0,13000,"
ул. Гмыри Бориса, Киев
"
1.12,1,70.0,2,4,0,13000,"
Бажана Николая просп., 16, Киев
"
1.19,3,60.0,2,4,0,16500,"
ул. Липкивского Василия (Урицкого), Киев
"
1.12,1,45.0,1,4,0,12000,"
ул. Руденко Ларисы, Киев
"
1.12,3,50.0,1,4,0,12000,"
ул. Драгоманова, Киев
"
1.12,3,40.0,1,4,0,16000,"
ул. Днепровская наб., Киев
"
1.53,1,60.0,2,4,0,27700,"
ул. Антоновича (Горького), Киев
"
1.19,3,62.0,2,2,0,12000,"
ул. Героев Севастополя, 24/2, Киев
"
1.29,3,65.0,2,4,0,17000,"
ул. Данченко Сергея, 15, Киев
"
1.19,3,100.0,2,4,1,22100,"
ул. Механизаторов, 2, Киев
"
1.19,3,26.0,1,4,0,10500,"
ул. Променистая, 42, Киев
"
1.74,3,50.0,1,19,1,21500,"
ул. Белорусская, 36а, Киев
"
1.22,3,37.0,1,24,0,12000,"
ул. Семьи Кульженко (Дегтяренко Петра), 31, Киев
"
1.19,3,72.0,2,1,0,10000,"
ул. Алма-Атинская, Киев
"
1.18,3,50.0,1,17,1,9500,"
ул. Клавдиевская, 40в, Киев
"
1.29,3,88.0,3,23,0,20000,"
Правды просп., 43б, Киев
"
1.19,3,7500.0,1,2,0,7500,"
Харьковское шоссе, 5, Киев
"
1.19,3,65.0,3,4,0,18500,"
ул. Гарматная, 37а, Киев
"
1.12,3,70.0,2,5,0,16000,"
ул. Урловская, 23в, Киев
"
1.12,3,80.0,3,4,0,14500,"
ул. Драгоманова, 20, Киев
"
2.87,1,180.0,4,4,0,55300,"
ул. Старонаводницкая, 4в, Киев
"
1.12,3,90.0,4,4,0,19000,"
ул. Драгоманова, 20, Киев
"
1.12,1,80.0,3,4,0,17500,"
ул. Драгоманова, 23б, Киев
"
1.74,1,40.0,1,4,0,13500,"
ул. Рейтарская, 2, Киев
"
1.53,1,120.0,3,4,0,27700,"
ул. Голосеевская, Киев
"
1.53,1,120.0,3,4,0,27700,"
ул. Голосеевская, 11а, Киев
"
2.87,1,48.0,2,4,0,13000,"
Новогоспитальная (Щорса пер.), 5, Киев
"
1.74,1,85.0,3,4,0,23000,"
ул. Лысенко, 4, Киев
"
2.87,1,130.0,3,4,1,52500,"
Леси Украинки бульв., 7б, Киев
"
2.87,1,45.0,1,4,1,14500,"
ул. Коновальца Евгения (Щорса), 44а, Киев
"
1.74,1,60.0,2,4,0,22000,"
ул. Владимирская, 19а, Киев
"
2.87,1,50.0,2,4,0,18000,"
ул. Гусовского Сергея, 4а, Киев
"
2.87,1,40.0,1,4,0,12500,"
ул. Московская, 17/2, Киев
"
1.19,1,55.0,1,4,0,21000,"
ул. Никольско-Слободская, 3б, Киев
"
1.12,1,90.0,2,4,1,14000,"
ул. Срибнокильская, 1, Киев
"
1.19,1,55.0,1,4,0,28000,"
ул. Никольско-Слободская, 3а, Киев
"
1.53,1,85.0,3,4,0,19000,"
ул. Антоновича (Горького), 14б, Киев
"
1.12,3,75.0,2,4,0,12000,"
ул. Урловская, 21, Киев
"
2.87,1,85.0,3,4,0,16900,"
Леси Украинки бульв., 9в, Киев
"
1.0,3,54.0,2,4,0,7500,"
ул. Радунская, Киев
"
1.29,1,30.0,1,5,0,13800,"
ул. Введенская, 7/9, Киев
"
1.74,3,54.0,2,6,1,27400,"
ул. Черновола Вячеслава, 27, Киев
"
1.12,1,70.0,2,4,1,23000,"
ул. Гмыри Бориса, 14а, Киев
"
1.53,3,45.0,2,12,0,16000,"
ул. Феодосийская, 1а, Киев
"
2.87,1,97.0,2,8,1,41500,"
Леси Украинки бульв., 7б, Киев
"
1.22,1,88.0,3,10,0,23000,"
ул. Тимошенко Маршала, 18, Киев
"
1.19,1,45.0,1,4,0,13000,"
ул. Дашавская, 25, Киев
"
1.53,1,100.0,4,1,0,44200,"
ул. Никольско-Ботаническая, 3, Киев
"
1.12,3,40.0,1,2,0,9000,"
ул. Тростянецкая, 5а, Киев
"
