district,metro,area,rooms,floor,gk,price,adress,lat_long,repair,metro_dist
1.74,1,48.0,2,3,0,10000,"
ул. Татарская, 36, Киев
","('50.4685617', '30.4866896')",0,1
1.19,1,55.0,2,4,0,12000,"
ул. Лобачевского, Киев
","('50.4348465', '30.6383939')",0,1
1.19,1,55.0,1,14,0,14000,"
ул. Каблукова, Киев
","('50.4384117', '30.4123132')",0,1
1.53,1,74.0,2,7,0,12000,"
Науки просп., Киев
","('50.4052974', '30.5208628')",0,1
1.22,1,93.1,3,3,0,41200,"
Оболонский просп., 36д, Киев
","('50.5190109', '30.5000924')",0,1
1.53,1,43.0,2,5,0,12000,"
ул. Фрометовская, 18б, Киев
","('50.4083191', '30.5098097')",0,1
1.19,1,85.0,3,9,0,18000,"
ул. Шумского Юрия, 5, Киев
","('50.4226368', '30.6040217')",0,1
2.87,1,42.0,1,14,1,27500,"
ул. Саперное Поле, 12, Киев
","('50.4175225', '30.5299452')",0,1
1.53,1,42.0,1,10,0,12500,"
Глушкова Академика просп., 9є, Киев
","('50.3729225', '30.4676478')",0,1
1.0,1,38.0,1,8,0,6700,"
ул. Жукова Маршала, 35/24, Киев
","('50.4785498', '30.6367022')",0,1
1.19,1,30.0,1,4,0,5000,"
Народный пер., Киев
","('50.4208731', '30.4842653')",0,2
1.53,3,32.0,1,4,0,8500,"
ул. Антоновича (Горького), 170-172, Киев
","('50.414742', '30.5215328')",0,1
1.19,1,55.0,1,14,1,20000,"
ул. Никольско-Слободская, 1а, Киев
","('50.4542848', '30.5930757')",0,1
1.29,1,51.0,2,2,0,17000,"
ул. Почайнинская, 45/48, Киев
","('50.472621', '30.5136925')",0,1
1.18,1,34.0,1,6,0,7500,"
ул. Булаховского Академика, 24, Киев
","('50.4714361', '30.3371863')",0,1
1.0,1,40.0,1,20,1,8000,"
ул. Закревского Николая, 103, Киев
","('50.5313337', '30.6218769')",0,1
1.22,1,65.0,2,10,0,15000,"
Дружбы Народов пл., 2а, Киев
","('50.501169', '30.5030986')",0,1
1.12,1,53.0,2,9,1,15500,"
ул. Малоземельная, 75, Киев
","('50.3921859', '30.6025531')",0,1
1.12,3,34.0,1,23,0,10500,"
ул. Чавдар Елизаветы, 28, Киев
","('50.3861164', '30.6253521')",1,1
1.53,3,90.0,3,12,1,76900,"
ул. Антоновича (Горького), 44, Киев
","('50.433465', '30.513191')",1,2
2.87,3,46.0,2,4,0,18000,"
Гордиенко Костя пер. (Чекистов пер.), Киев
","('50.4398793', '30.5360519')",0,1
1.22,1,40.0,1,26,1,12000,"
ул. Кондратюка Юрия, 3, Киев
","('50.526436', '30.4574349')",0,1
1.22,1,56.0,2,3,0,11000,"
ул. Вышгородская, 44, Киев
","('50.5138943', '30.4504817')",0,1
1.22,1,50.0,2,26,0,13000,"
ул. Калнишевского Петра (Майорова М.), 14, Киев
","('50.5236296', '30.467174')",0,1
1.12,1,30.0,1,4,0,6500,"
ул. Вербицкого Архитектора, Киев
","('50.4123809', '30.6502157')",0,1
1.22,1,100.0,3,25,0,41200,"
Оболонский просп., 1, Киев
","('50.4989359', '30.4978973')",0,1
1.12,3,88.0,2,4,1,38200,"
ул. Днепровская наб., 14, Киев
","('50.4017441', '30.614014')",0,1
1.29,3,87.0,2,3,0,30200,"
ул. Борисоглебская, 16в, Киев
","('50.4639958', '30.5236886')",0,1
2.87,3,47.0,1,3,1,27500,"
ул. Джона Маккейна (Кудри Ивана), 7, Киев
","('50.4149353', '30.530897')",0,1
1.12,3,88.0,2,4,1,37100,"
ул. Днепровская наб., 14, Киев
","('50.4017441', '30.614014')",0,1
1.12,3,61.0,1,20,1,22000,"
ул. Днепровская наб., 14, Киев
","('50.4017441', '30.614014')",0,1
1.0,1,30.0,1,1,0,6000,"
ул. Курчатова Академика, 17, Киев
","('50.4793504', '30.6309958')",0,1
1.12,3,50.0,1,3,0,18000,"
ул. Заречная, 2, Киев
","('50.397701', '30.602673')",0,1
1.12,1,80.0,2,21,0,22000,"
ул. Ахматовой, 50, Киев
","('50.4060987', '30.616181')",0,1
1.19,1,70.0,2,9,1,20000,"
ул. Эрнста, 16, Киев
","('50.415668', '30.4615579')",0,2
2.87,3,60.0,2,4,0,25000,"
Новогоспитальная (Щорса пер.), 5а, Киев
","('50.4285801', '30.534095')",0,1
2.87,3,55.0,1,5,0,20000,"
ул. Иоанна Павла II (Лумумбы Патриса), 11, Киев
","('50.4209277', '30.5326337')",0,1
1.12,3,62.0,2,10,1,23300,"
ул. Трускавецкая, 6в, Киев
","('50.4017495', '30.6018194')",0,1
1.12,3,62.0,1,21,1,22000,"
ул. Днепровская наб., 14, Киев
","('50.4017441', '30.614014')",0,1
1.29,1,50.0,2,15,1,17000,"
ул. Данченко Сергея, 34, Киев
","('50.4975637', '30.4403196')",0,1
2.87,3,60.0,1,9,1,21000,"
ул. Предславинская, 40, Киев
","('50.4161613', '30.5254886')",0,1
1.12,3,107.0,3,15,0,18000,"
ул. Кошица, 9б, Киев
","('50.405536', '30.6416882')",0,1
1.12,3,60.0,2,8,1,24700,"
ул. Трускавецкая, 6в, Киев
","('50.4017495', '30.6018194')",0,1
1.12,3,92.0,3,23,0,17000,"
ул. Драгоманова, 6/1, Киев
","('50.4152192', '30.6344149')",0,1
1.12,3,50.0,1,20,1,22500,"
ул. Трускавецкая, 4б, Киев
","('50.4003674', '30.6017137')",0,1
1.53,3,46.0,1,1,0,26000,"
ул. Антоновича (Горького), 59б, Киев
","('50.430529', '30.5138531')",0,2
1.12,3,62.0,2,19,1,22000,"
ул. Днепровская наб., 14, Киев
","('50.4017441', '30.614014')",0,1
1.19,3,55.0,2,7,1,18000,"
ул. Туманяна Ованеса, 15а, Киев
","('50.4446846', '30.6013544')",0,1
1.12,3,80.0,3,23,1,20000,"
ул. Гмыри Бориса, 16а, Киев
","('50.3907412', '30.6302016')",0,1
1.22,3,50.0,2,4,0,10000,"
ул. Тимошенко Маршала, 6, Киев
","('50.5108081', '30.4933299')",0,1
1.12,3,33.0,1,4,1,10000,"
ул. Чавдар Елизаветы, 38б, Киев
","('50.3912652', '30.6270993')",0,1
1.74,3,50.0,2,4,0,19500,"
ул. Малоподвальная, 21/8, Киев
","('50.4495408', '30.5173138')",0,2
1.12,3,37.0,1,4,1,10500,"
ул. Чавдар Елизаветы, 38а, Киев
","('50.3912652', '30.6270993')",0,1
1.29,1,57.0,1,8,1,11000,"
ул. Вышгородская, 45, Киев
","('50.5092262', '30.4492247')",0,1
1.12,1,60.0,2,19,1,27500,"
ул. Днепровская наб., 14б, Киев
","('50.4017441', '30.614014')",0,1
1.12,1,60.0,2,10,0,27500,"
ул. Днепровская наб., Киев
","('50.4240424', '30.5937112')",0,1
1.29,1,65.0,2,14,1,16000,"
ул. Тираспольская, 54, Киев
","('50.4811819', '30.426125')",0,1
1.53,1,65.0,2,10,0,27500,"
Голосеевский проспект (40-летия Октября просп.), Киев
","('50.3854025', '30.4896616')",0,1
1.53,1,46.0,2,5,0,9500,"
ул. Матыкина Генерала, 12, Киев
","('50.3003377', '30.5749824')",0,1
1.74,1,38.0,1,23,0,16000,"
ул. Рыбалко Маршала, 5, Киев
","('50.4546438', '30.480921')",0,2
1.12,1,37.0,1,21,1,11000,"
ул. Гмыри Бориса, 16, Киев
","('50.3907412', '30.6302016')",0,1
1.12,1,72.0,3,4,0,15000,"
ул. Тростянецкая, 6а, Киев
","('50.4151931', '30.6516439')",0,1
1.22,1,67.0,2,4,0,13000,"
ул. Тимошенко Маршала, Киев
","('50.5108081', '30.4933299')",0,1
1.29,3,129.0,3,7,0,35400,"
ул. Волошская, 51/27, Киев
","('50.4718968', '30.5117286')",1,1
1.19,1,38.0,1,4,1,14000,"
ул. Липы Юрия, 6а, Киев
","('50.4253051', '30.6022395')",0,1
1.74,3,50.0,2,1,0,13000,"
ул. Дегтяревская, 26б, Киев
","('50.4623646', '30.4718345')",0,1
1.19,3,35.0,1,20,0,12400,"
ул. Лебедева Николая, 14, Киев
","('50.3452756', '30.4874428')",1,1
1.19,1,120.0,3,2,0,22000,"
Шамо Игоря бул. (Давыдова А. бул.), 12, Киев
","('50.4386763', '30.5981242')",1,1
1.53,3,62.0,3,5,0,15500,"
ул. Васильковская, 4, Киев
","('50.3973268', '30.5061495')",0,1
1.19,3,63.0,3,1,0,11500,"
ул. Русановская наб., 8/1, Киев
","('50.4369312', '30.5927872')",0,1
1.53,1,68.0,3,1,0,12000,"
ул. Лятошинского, 14а, Киев
","('50.3781917', '30.4494074')",0,1
1.19,3,124.0,3,10,0,17500,"
ул. Митрополита Андрея Шептицкого (Луначарского), 14, Киев
","('50.4545979', '30.5988076')",1,1
1.22,1,56.0,2,10,0,16500,"
ул. Героев Днепра, 28/45, Киев
","('50.5221222', '30.4971325')",1,1
1.12,1,55.0,2,5,0,12000,"
ул. Вербицкого Архитектора, 4а, Киев
","('50.4134873', '30.6499324')",0,1
1.19,1,55.0,2,3,1,16000,"
ул. Кудряшова, 16, Киев
","('50.430762', '30.4859635')",1,3
1.74,3,120.0,3,21,0,26000,"
ул. Провиантская (Тимофеевой Гали), 3, Киев
","('50.4509446', '30.4715852')",1,2
1.74,3,68.0,3,4,0,17500,"
ул. Тургеневская, 16, Киев
","('50.4498926', '30.4938749')",1,2
1.74,3,55.0,2,8,0,20000,"
ул. Хмельницкого Богдана, 39, Киев
","('50.4474199', '30.5032134')",1,2
1.74,3,75.0,2,17,0,20000,"
ул. Саксаганского, 121, Киев
","('50.4418617', '30.4977371')",1,2
1.74,3,42.0,1,13,1,14000,"
ул. Тираспольская, 54, Киев
","('50.4811819', '30.426125')",1,1
1.53,1,53.0,2,5,0,13000,"
Голосеевский проспект (40-летия Октября просп.), 108к3, Киев
","('50.387731', '30.4929156')",1,1
1.53,3,58.0,2,6,1,17000,"
ул. Голосеевская, 13б, Киев
","('50.4000243', '30.5199515')",1,1
1.53,3,54.0,1,13,1,13000,"
ул. Максимовича Михаила (Трутенко Онуфрия), 3д, Киев
","('50.3924872', '30.4795342')",1,1
1.74,3,45.0,2,4,0,15500,"
Победы просп., 20, Киев
","('50.4503654', '30.4736335')",1,2
1.18,1,38.0,1,8,0,10500,"
ул. Булгакова, 4а, Киев
","('50.4098441', '30.4029194')",0,1
2.87,1,56.0,2,15,1,33000,"
ул. Тютюнника Василия (Барбюса Анри), 28а, Киев
","('50.4245352', '30.523142')",0,2
1.29,1,65.0,2,4,0,12500,"
ул. Борисоглебская, 1/17, Киев
","('50.462368', '30.520396')",0,1
1.53,1,45.0,1,5,0,13000,"
ул. Ломоносова, 83а, Киев
","('50.3834704', '30.4636636')",0,1
1.74,3,60.0,3,4,0,14000,"
ул. Сечевых Стрельцов (Артема), 59а, Киев
","('50.4560906', '30.4928921')",0,2
1.18,3,51.0,1,2,1,15000,"
Победы просп., 67б, Киев
","('50.4579786', '30.4058647')",1,1
1.12,1,56.6,1,4,0,14500,"
Бажана Николая просп., 24/1, Киев
","('50.3984485', '30.6429499')",0,1
1.12,3,43.0,1,4,1,23600,"
ул. Заречная, 1г, Киев
","('50.3951196', '30.6025924')",0,1
1.12,1,68.0,2,4,0,12500,"
ул. Бориспольская, 4, Киев
","('50.429962', '30.658727')",0,1
1.12,3,30.0,1,4,1,16000,"
ул. Заречная, 3а, Киев
","('50.3955098', '30.6028253')",0,1
1.74,3,42.0,1,4,0,13000,"
ул. Шулявская, Киев
","('50.4528888', '30.4667883')",0,2
1.53,3,41.0,1,4,1,16000,"
ул. Теремковская, 4а, Киев
","('50.3697364', '30.4524232')",0,1
2.87,3,40.0,1,4,0,16000,"
Дружбы Народов бульв., 5, Киев
","('50.412669', '30.5303809')",0,1
1.12,3,69.0,2,4,0,15500,"
ул. Драгоманова, 44, Киев
","('50.4026417', '30.6345006')",0,1
1.12,3,50.0,2,4,1,22000,"
ул. Осокорская, 2а, Киев
","('50.3976888', '30.6026249')",0,1
1.12,3,43.0,1,5,0,15500,"
ул. Вишняковская, 5а, Киев
","('50.3938706', '30.6508786')",0,1
1.19,1,55.0,3,3,0,15000,"
ул. Белецкого Академика, 5, Киев
","('50.431252', '30.4201819')",0,1
1.18,1,96.0,3,7,0,19000,"
Академика Палладина просп., 18/30, Киев
","('50.4601559', '30.3574334')",0,1
1.12,3,100.0,3,4,0,14000,"
ул. Крушельницкой Соломии, 3а, Киев
","('50.3928559', '30.6400661')",0,1
1.19,1,45.0,2,2,0,9000,"
ул. Запорожца Петра, 7, Киев
","('50.479556', '30.5982272')",0,1
1.12,3,40.0,1,4,1,14000,"
ул. Днепровская наб., 16д, Киев
","('50.4009018', '30.614217')",0,1
1.22,1,46.0,1,25,0,12000,"
ул. Калнишевского Петра (Майорова М.), 7, Киев
","('50.5215276', '30.4635669')",1,1
1.29,1,36.0,1,4,0,11000,"
ул. Гречко Маршала, 10э, Киев
","('50.49095', '30.4076515')",1,1
1.29,1,46.0,2,7,0,10000,"
Правды просп., 92, Киев
","('50.5065327', '30.4146248')",0,1
1.29,1,45.0,2,3,0,12900,"
ул. Межевая, 4, Киев
","('50.5146559', '30.4389637')",0,1
1.22,1,36.0,1,1,0,8500,"
Рокоссовского Маршала просп., 3а, Киев
","('50.52134', '30.457828')",1,1
1.74,1,25.0,1,2,0,7500,"
ул. Мельникова, 85, Киев
","('50.4707635', '30.4636337')",0,1
2.87,1,40.0,1,3,0,12900,"
ул. Джона Маккейна (Кудри Ивана), 39а, Киев
","('50.4208835', '30.5410029')",0,1
1.74,1,153.0,4,7,0,74100,"
ул. Хмельницкого Богдана, 41, Киев
","('50.4474447', '30.5024354')",0,2
1.19,1,65.0,2,10,0,20000,"
ул. Никольско-Слободская, 3а, Киев
","('50.4551297', '30.5861282')",0,1
1.12,1,40.0,2,2,0,8000,"
ул. Бориспольская, Киев
","('50.4274109', '30.6702482')",0,1
1.19,1,45.0,2,5,0,9500,"
ул. Белгородская, 10, Киев
","('50.4221136', '30.4714872')",0,2
1.12,1,37.0,1,9,0,9000,"
Григоренко Петра просп., 25а, Киев
","('50.4050862', '30.633135')",0,1
1.0,1,63.0,2,7,0,9000,"
ул. Лисковская, 28, Киев
","('50.5289863', '30.5943127')",0,1
1.19,1,45.0,2,4,0,11000,"
ул. Волгоградская, 14, Киев
","('50.4229596', '30.4839493')",0,2
1.0,1,68.0,3,1,0,10900,"
Шухевича Романа просп. (Ватутина Генерала просп.), 26б, Киев
","('50.4952826', '30.598239')",0,1
2.87,1,130.0,2,8,0,49400,"
ул. Гусовского Сергея, Киев
","('50.4343002', '30.5409523')",0,1
1.74,3,45.0,2,4,0,11500,"
ул. Щусева, 6, Киев
","('50.4741336', '30.4464843')",0,1
1.19,1,45.0,2,5,0,7200,"
ул. Донца Михаила, 13, Киев
","('50.4316887', '30.428228')",0,1
2.87,3,450.0,5,4,0,165000,"
ул. Соловцова Николая, Киев
","('50.405135', '30.558881')",0,1
1.19,1,67.0,2,14,0,12000,"
ул. Миропольская, 39, Киев
","('50.4713259', '30.6133742')",1,1
1.18,3,50.0,2,3,0,10000,"
ул. Депутатская, 6, Киев
","('50.4590889', '30.3809757')",0,1
2.87,3,42.0,1,2,0,11000,"
ул. Бастионная, 4, Киев
","('50.4178827', '30.550974')",0,1
1.18,1,30.0,1,1,0,5500,"
ул. Королева Академика, 3, Киев
","('50.4123165', '30.4111919')",0,1
1.22,3,40.0,1,1,0,10000,"
ул. Иорданская (Гавро Лайоша), 9е, Киев
","('50.4957215', '30.5067652')",0,1
1.74,3,83.5,2,5,0,43900,"
ул. Хмельницкого Богдана, 58а, Киев
","('50.4476347', '30.5053939')",1,2
1.19,1,63.0,3,4,0,9000,"
Харьковское шоссе, 7, Киев
","('50.4387089', '30.6301076')",0,1
2.87,3,168.0,4,4,1,54900,"
ул. Старонаводницкая, 13, Киев
","('50.4267606', '30.5428333')",0,1
2.87,3,82.0,3,4,1,68600,"
Леси Украинки бульв., 7в, Киев
","('50.4346578', '30.5312405')",0,1
2.87,3,226.0,5,4,1,151000,"
ул. Драгомирова Михаила, 5, Киев
","('50.4118674', '30.546937')",0,1
2.87,3,160.0,4,4,1,41200,"
ул. Панаса Мирного, 12, Киев
","('50.4333991', '30.541731')",0,1
2.87,3,69.0,2,4,1,30200,"
ул. Драгомирова Михаила, 11, Киев
","('50.409347', '30.5458778')",0,1
1.74,3,107.0,3,4,0,33000,"
ул. Коперника, 3, Киев
","('50.459186', '30.4840543')",0,2
2.87,3,144.0,3,4,1,60400,"
ул. Иоанна Павла II (Лумумбы Патриса), 6/1, Киев
","('50.4206073', '30.5304529')",0,1
2.87,3,116.0,3,4,1,74100,"
ул. Драгомирова Михаила, 9, Киев
","('50.4100188', '30.5465614')",0,1
2.87,3,80.0,4,6,0,49400,"
ул. Бендукидзе Кахи, 2, Киев
","('50.411089', '30.5431399')",1,1
2.87,3,151.0,4,4,1,98900,"
ул. Драгомирова Михаила, 14, Киев
","('50.4118019', '30.5456278')",0,1
2.87,3,60.0,2,4,1,41200,"
ул. Драгомирова Михаила, 11, Киев
","('50.409347', '30.5458778')",0,1
2.87,3,86.0,3,4,1,68600,"
ул. Саксаганского, 37к, Киев
","('50.4354538', '30.5125045')",0,2
1.53,3,86.0,3,4,1,68600,"
ул. Саксаганского, 37к, Киев
","('50.4354538', '30.5125045')",0,2
1.12,1,116.0,4,4,0,20000,"
ул. Ахматовой, 7/15, Киев
","('50.4110733', '30.638303')",0,1
1.0,1,53.0,2,4,0,11000,"
Маяковского Владимира просп., 4в, Киев
","('50.5008763', '30.5925549')",0,1
2.87,1,200.0,5,4,0,154000,"
ул. Лютеранская, 21/12, Киев
","('50.4443452', '30.5267565')",0,1
2.87,1,157.0,3,19,1,45300,"
ул. Коновальца Евгения (Щорса), 44а, Киев
","('50.4242183', '30.5417788')",0,1
1.12,1,50.0,2,17,0,23000,"
ул. Днепровская наб., 16, Киев
","('50.4009018', '30.614217')",0,1
1.12,1,46.0,1,9,0,12000,"
ул. Урловская, Киев
","('50.4052672', '30.6211852')",0,1
1.12,1,55.0,2,5,0,8500,"
ул. Тростянецкая, 7, Киев
","('50.4177762', '30.6518709')",0,1
1.12,3,35.0,1,4,0,9000,"
Харьковское шоссе, 21/5, Киев
","('50.42674', '30.639585')",0,1
1.12,1,70.0,2,4,0,9000,"
Качуровского Игоря  пер. (Руднева пер.), 1, Киев
","('50.4264214', '30.66967')",0,1
1.53,1,42.0,1,8,1,12000,"
ул. Метрологическая, 9в, Киев
","('50.3510237', '30.4794657')",0,1
1.74,1,53.0,2,16,1,25500,"
ул. Златоустовская, 34, Киев
","('50.451127', '30.4875025')",0,2
1.12,1,32.0,1,21,0,12000,"
ул. Днепродзержинская, 130, Киев
","('50.4047797', '30.6701895')",0,1
1.74,1,90.0,2,3,0,20000,"
ул. Дмитриевская, 69, Киев
","('50.4548104', '30.4868117')",0,2
1.74,3,105.0,3,4,0,16000,"
Победы просп., 125, Киев
","('50.4539586', '30.3536719')",0,1
1.53,1,60.0,1,4,0,12000,"
Феодосийский пер., 14, Киев
","('50.4026625', '30.5317273')",0,1
1.18,1,50.0,2,2,0,9500,"
ул. Зодчих, 4, Киев
","('50.4155932', '30.3862789')",1,1
2.87,3,230.0,4,4,0,90600,"
ул. Институтская, 13/4, Киев
","('50.4473744', '30.5328192')",1,1
1.0,1,30.0,1,8,0,6500,"
ул. Жукова Маршала, 35, Киев
","('50.4785498', '30.6367022')",0,1
2.87,1,75.0,2,12,1,25000,"
Леси Украинки бульв., 7б, Киев
","('50.4346578', '30.5312405')",0,1
1.74,1,52.0,2,6,0,11000,"
ул. Борщаговская, 6, Киев
","('50.4482324', '30.4744659')",0,2
1.53,1,38.0,1,8,0,16500,"
ул. Максимовича Михаила (Трутенко Онуфрия), Киев
","('50.392923', '30.4750276')",0,1
2.87,1,110.0,3,18,1,60400,"
ул. Предславинская, 40, Киев
","('50.4161613', '30.5254886')",0,1
1.19,1,28.0,1,5,0,7000,"
ул. Пожарского, Киев
","('50.4516933', '30.6244454')",0,1
2.87,1,90.0,2,4,0,27000,"
ул. Коновальца Евгения (Щорса), 36е, Киев
","('50.4249317', '30.5344498')",0,1
1.19,1,42.0,2,2,0,10000,"
ул. Мартиросяна, 17, Киев
","('50.4296917', '30.4527172')",0,2
1.0,1,33.0,1,5,0,7000,"
ул. Беретти Викентия, 5, Киев
","('50.5094702', '30.6037198')",0,1
1.12,1,112.0,3,4,0,16000,"
Бажана Николая просп., 26, Киев
","('50.3985015', '30.6448693')",0,1
2.87,3,209.0,4,4,0,43900,"
ул. Лескова, 1а, Киев
","('50.4314508', '30.5410829')",0,1
1.74,3,130.0,4,4,0,82400,"
ул. Лысенко, 2а, Киев
","('50.44908', '30.512176')",0,2
1.12,1,51.0,1,4,0,12500,"
ул. Ахматовой, 13д, Киев
","('50.4074934', '30.6349592')",0,1
1.12,3,53.0,1,4,0,11500,"
ул. Чавдар Елизаветы, 24, Киев
","('50.387514', '30.62508')",0,1
1.18,3,46.0,1,12,1,9500,"
Победы просп., 121б, Киев
","('50.4538903', '30.3624137')",1,1
1.19,1,28.0,1,4,0,6000,"
Лобановского просп. (Краснозвездный просп.), 43, Киев
","('50.4195264', '30.4746473')",0,2
1.19,1,48.0,2,4,0,8000,"
Гавела Вацлава бульв. (Лепсе Ивана), 48, Киев
","('50.4241131', '30.4219551')",0,1
1.19,1,34.0,1,4,0,7000,"
Гавела Вацлава бульв. (Лепсе Ивана), 75, Киев
","('50.4299335', '30.4152056')",0,1
1.19,1,55.0,2,10,0,16000,"
ул. Соломенская, Киев
","('50.4221342', '30.484343')",0,2
1.19,1,34.0,1,3,0,9000,"
ул. Лебедева Николая, Киев
","('50.3452756', '30.4874428')",0,1
1.53,1,45.0,1,16,0,10000,"
Глушкова Академика просп., 9д, Киев
","('50.3729225', '30.4676478')",0,1
1.19,1,45.0,2,7,0,9500,"
ул. Русановская наб., 22, Киев
","('50.4447192', '30.5916496')",0,1
1.19,1,26.0,1,3,1,10000,"
ул. Юношеская, 2, Киев
","('50.3978339', '30.4692998')",0,1
1.12,1,40.0,1,7,0,12800,"
ул. Днепровская наб., 41, Киев
","('50.405105', '30.6189875')",0,1
1.74,1,148.0,4,3,0,49400,"
ул. Павловская, Киев
","('50.4531014', '30.4917229')",0,2
1.19,1,35.0,1,1,0,8500,"
Воздухофлотский просп., 51, Киев
","('50.4197276', '30.4538821')",0,2
1.12,1,52.0,1,13,0,12000,"
ул. Драгоманова, 6а, Киев
","('50.4152192', '30.6344149')",0,1
1.19,1,62.0,2,4,0,15000,"
ул. Березняковская, 20, Киев
","('50.4283452', '30.6149146')",0,1
2.87,3,60.0,2,3,0,16500,"
Дружбы Народов бульв., 13, Киев
","('50.4143808', '30.5361136')",1,1
1.19,3,80.0,2,8,1,19200,"
ул. Никольско-Слободская, 1а, Киев
","('50.4542848', '30.5930757')",1,1
2.87,3,53.0,1,20,1,30200,"
ул. Предславинская, 55а, Киев
","('50.415693', '30.5266534')",1,1
1.53,1,43.0,1,11,0,14900,"
Феодосийский пер., 3в, Киев
","('50.4026067', '30.5325166')",0,1
2.87,3,75.0,3,9,1,46700,"
ул. Джона Маккейна (Кудри Ивана), 7, Киев
","('50.4149353', '30.530897')",1,1
1.22,3,117.0,3,4,0,30000,"
ул. Тимошенко Маршала, 21, Киев
","('50.5131233', '30.4945674')",0,1
2.87,3,60.0,2,3,0,26100,"
Новогоспитальная (Щорса пер.), 5а, Киев
","('50.4285801', '30.534095')",0,1
2.87,3,55.0,1,14,1,27500,"
ул. Тютюнника Василия (Барбюса Анри), 37/1, Киев
","('50.4211248', '30.5263316')",0,1
2.87,3,34.0,1,7,0,21000,"
Дружбы Народов бульв., 8а, Киев
","('50.4122935', '30.5329531')",1,1
2.87,1,56.0,1,19,0,27500,"
Дружбы Народов бульв., 14/16, Киев
","('50.413621', '30.5372004')",0,1
2.87,3,75.0,3,5,0,27500,"
ул. Большая Васильковская, 27, Киев
","('50.4384921', '30.5164591')",1,2
2.87,3,54.0,1,9,1,24700,"
ул. Предславинская, 55а, Киев
","('50.415693', '30.5266534')",1,1
1.22,3,47.0,2,1,0,12000,"
ул. Озерная (Оболонь), 12, Киев
","('50.5254937', '30.4915366')",0,1
1.74,3,70.0,3,3,0,41200,"
ул. Пирогова, 2, Киев
","('50.4463215', '30.5063182')",1,2
2.87,3,51.0,1,2,0,22000,"
ул. Иоанна Павла II (Лумумбы Патриса), 11, Киев
","('50.4209277', '30.5326337')",1,1
2.87,3,55.0,1,17,1,27500,"
ул. Джона Маккейна (Кудри Ивана), 7, Киев
","('50.4149353', '30.530897')",1,1
2.87,3,53.0,2,3,0,22000,"
ул. Московская, 39, Киев
","('50.4334552', '30.5457613')",1,1
2.87,3,55.0,1,9,1,30200,"
ул. Тютюнника Василия (Барбюса Анри), 53, Киев
","('50.4167853', '30.5288069')",1,1
2.87,3,46.0,1,8,1,23300,"
ул. Бойчука Михаила (Киквидзе), 41-43, Киев
","('50.4060956', '30.552806')",1,1
1.22,1,75.0,2,10,1,21000,"
ул. Вышгородская, 45, Киев
","('50.5092262', '30.4492247')",0,1
2.87,3,45.0,1,15,1,27500,"
ул. Бойчука Михаила (Киквидзе), 41-43, Киев
","('50.4060956', '30.552806')",1,1
2.87,3,43.0,1,2,1,24700,"
ул. Джона Маккейна (Кудри Ивана), 1б, Киев
","('50.4139129', '30.5264399')",1,1
2.87,3,48.0,1,9,0,33000,"
ул. Большая Васильковская, 139, Киев
","('50.414458', '30.5251721')",1,1
1.12,1,105.0,3,4,0,18000,"
Харьковское шоссе, 58а, Киев
","('50.4230591', '30.6466459')",0,1
2.87,3,84.0,2,9,0,38400,"
ул. Коновальца Евгения (Щорса), 36в, Киев
","('50.4249317', '30.5344498')",0,1
1.74,3,68.0,2,13,1,28000,"
ул. Златоустовская, 55, Киев
","('50.4537397', '30.4856327')",0,2
1.53,3,50.0,1,11,1,30200,"
ул. Жилянская, 68, Киев
","('50.436448', '30.5030229')",0,2
2.87,3,64.0,1,9,1,38400,"
ул. Болсуновская (Струтинского Сергея), 2, Киев
","('50.4213737', '30.5525158')",0,1
2.87,3,68.0,2,7,0,24700,"
ул. Большая Васильковская, 58, Киев
","('50.4341572', '30.5155243')",0,2
2.87,3,60.0,2,4,0,37100,"
ул. Бассейная, 23, Киев
","('50.4394084', '30.5248618')",0,2
2.87,3,130.0,3,6,0,43900,"
ул. Тютюнника Василия (Барбюса Анри), 16, Киев
","('50.4264366', '30.5215221')",0,2
1.74,1,51.0,1,13,0,22000,"
ул. Сечевых Стрельцов (Артема), 44а, Киев
","('50.456604', '30.4940778')",0,2
1.74,1,54.0,1,6,1,27500,"
ул. Черновола Вячеслава, 27, Киев
","('50.4536327', '30.4850768')",0,2
1.74,3,47.0,2,3,0,25000,"
Михайловский пер., 20, Киев
","('50.4517303', '30.5178497')",0,1
1.74,1,52.9,2,7,1,17000,"
ул. Черновола Вячеслава, 27, Киев
","('50.4536327', '30.4850768')",0,2
1.53,3,85.0,2,7,1,27500,"
ул. Жилянская, 118, Киев
","('50.4417356', '30.4966434')",0,2
1.74,1,90.0,2,6,0,24700,"
ул. Дмитриевская, 69, Киев
","('50.4548104', '30.4868117')",0,2
2.87,3,52.0,2,2,0,30200,"
ул. Большая Васильковская, 26, Киев
","('50.4388416', '30.5156788')",0,2
1.74,3,72.0,3,2,0,26100,"
ул. Ярославов Вал, 28/31, Киев
","('50.4520839', '30.5089049')",0,2
2.87,3,120.0,3,20,0,41200,"
Леси Украинки бульв., 30б, Киев
","('50.4230518', '30.5431635')",0,1
1.74,3,78.0,3,3,0,27500,"
ул. Костельная, 6, Киев
","('50.451977', '30.5240711')",0,1
2.87,3,45.0,2,8,0,22000,"
ул. Лаврская, 4, Киев
","('50.4379112', '30.5517329')",0,1
