district,metro,area,rooms,floor,gk,price,adress,lat_long,repair,metro_dist
1.12,3,40.0,1,4,0,10000,"
ул. Гришко Михаила, 10, Киев
","('50.3948631', '30.632707')",0,1
1.74,3,125.0,4,4,0,24000,"
ул. Щербаковского Даниила (Щербакова), 42, Киев
","('50.466754', '30.40627')",0,1
1.19,1,52.0,2,4,1,18000,"
ул. Липкивского Василия (Урицкого), 16г, Киев
","('50.4344279', '30.4852855')",0,3
1.29,1,50.0,1,4,1,27500,"
ул. Набережно-Рыбальская, 3, Киев
","('50.4796652', '30.5367108')",0,1
1.19,3,32.0,1,4,0,9000,"
ул. Лебедева Николая, 32, Киев
","('50.3452756', '30.4874428')",0,1
1.53,3,35.0,1,4,1,14000,"
ул. Теремковская, 4а, Киев
","('50.3697364', '30.4524232')",0,1
1.0,1,55.0,1,4,0,9000,"
ул. Милославская, 16, Киев
","('50.5333828', '30.5976028')",0,1
1.19,3,58.0,3,4,0,11500,"
ул. Миропольская, 3, Киев
","('50.4638401', '30.6270239')",0,1
1.19,1,61.0,1,4,0,15000,"
Чоколовский бул., 42а, Киев
","('50.4381748', '30.4507171')",0,2
1.22,3,53.0,2,4,0,22900,"
Оболонский просп., 16б, Киев
","('50.5074105', '30.4993053')",0,1
2.87,3,90.0,2,4,0,27000,"
ул. Коновальца Евгения (Щорса), 36е, Киев
","('50.4249317', '30.5344498')",0,1
2.87,3,110.0,4,4,1,96100,"
ул. Предславинская, 40, Киев
","('50.4161613', '30.5254886')",0,1
1.12,1,95.0,2,4,0,22000,"
Григоренко Петра просп., 22/20, Киев
","('50.4091595', '30.627176')",0,1
1.19,3,90.0,4,4,0,14000,"
ул. Малышко Андрея, 31а, Киев
","('50.4626187', '30.626168')",0,1
1.12,3,51.0,2,4,0,10000,"
Бажана Николая просп., 5е, Киев
","('50.4025175', '30.6562667')",0,1
1.12,3,43.0,1,4,0,22000,"
ул. Заречная, 1, Киев
","('50.3951196', '30.6025924')",0,1
1.12,1,52.0,1,4,0,15000,"
ул. Драгоманова, 2б, Киев
","('50.4180344', '30.6342052')",0,1
2.87,3,59.0,2,4,0,14000,"
Дружбы Народов бульв., 8а, Киев
","('50.4122935', '30.5329531')",0,1
1.12,3,51.0,2,4,0,10500,"
ул. Ревуцкого, 35, Киев
","('50.4055963', '30.6507362')",0,1
1.19,1,48.0,1,4,0,9500,"
ул. Юности, 8/2, Киев
","('50.4655542', '30.6184039')",0,1
1.19,1,36.0,1,4,0,9000,"
ул. Радужная, 2, Киев
","('50.4933375', '30.5843626')",0,1
1.19,1,38.0,1,4,0,12000,"
ул. Регенераторная, 4, Киев
","('50.4375504', '30.6213166')",0,1
1.53,1,50.0,2,6,0,8500,"
ул. Смолича Юрия, 6, Киев
","('50.3833079', '30.4516948')",0,1
1.53,1,28.0,1,4,0,7500,"
ул. Новопироговская, 33, Киев
","('50.3649933', '30.555757')",0,1
1.53,3,70.0,2,10,1,38400,"
ул. Антоновича (Горького), 74, Киев
","('50.4261288', '30.5140672')",0,2
1.74,3,47.0,1,17,1,13500,"
ул. Герцена, 35, Киев
","('50.4730109', '30.4635576')",1,1
2.87,3,34.0,1,5,0,14500,"
Приймаченко Марии бульв. (Лихачева), 4, Киев
","('50.4187616', '30.5421071')",1,1
1.53,1,59.0,1,1,0,13700,"
Глушкова Академика просп., 9д, Киев
","('50.3729225', '30.4676478')",1,1
1.29,1,48.0,1,13,1,8500,"
ул. Данченко Сергея, 1, Киев
","('50.4967006', '30.4262978')",0,1
1.22,1,87.0,2,4,1,25500,"
Героев Сталинграда просп., 6, Киев
","('50.4945654', '30.521553')",0,1
1.12,1,95.0,3,7,0,15000,"
ул. Здолбуновская, 9б, Киев
","('50.4127769', '30.6079028')",0,1
2.87,1,90.0,3,15,1,49400,"
ул. Коновальца Евгения (Щорса), 34а, Киев
","('50.4267967', '30.5344145')",0,1
1.12,1,75.0,3,8,0,15500,"
ул. Вишняковская, 8, Киев
","('50.3952669', '30.6496748')",0,1
1.53,1,43.0,1,14,1,15000,"
ул. Демеевская, 18, Киев
","('50.4031993', '30.510101')",0,1
1.19,1,36.0,1,4,0,7500,"
ул. Радужная, 43, Киев
","('50.4816305', '30.5895445')",0,1
1.29,1,32.0,1,4,0,6000,"
ул. Краснопольская, 2б, Киев
","('50.5097784', '30.442569')",0,1
1.12,1,30.0,1,4,0,5000,"
ул. Горловская, 38/40, Киев
","('50.413047', '30.6613289')",0,1
1.19,1,100.0,3,11,0,20500,"
ул. Клиническая, 23/25, Киев
","('50.4183369', '30.4903151')",1,2
2.87,3,65.0,2,4,1,41200,"
ул. Болсуновская (Струтинского Сергея), 2, Киев
","('50.4213737', '30.5525158')",0,1
2.87,3,55.0,2,4,0,27500,"
ул. Коновальца Евгения (Щорса), 34, Киев
","('50.4267967', '30.5344145')",0,1
1.12,3,45.0,2,4,1,19000,"
ул. Заречная, 1а, Киев
","('50.3951196', '30.6025924')",0,1
2.87,3,60.0,2,4,1,41200,"
ул. Предславинская, 53, Киев
","('50.4163373', '30.5264988')",0,1
1.53,3,30.0,1,4,0,12600,"
ул. Васильковская, 100а, Киев
","('50.382648', '30.4776283')",0,1
1.53,3,28.0,1,4,0,12500,"
ул. Васильковская, 100а, Киев
","('50.382648', '30.4776283')",0,1
1.53,3,31.0,1,4,0,12300,"
ул. Васильковская, 100а, Киев
","('50.382648', '30.4776283')",0,1
1.53,3,30.0,1,4,0,14500,"
ул. Васильковская, 100а, Киев
","('50.382648', '30.4776283')",0,1
