district,metro,area,rooms,floor,gk,price,adress
2.87,3,70.0,2,4,0,32600,"
ул. Рогнединская, 1/13, Киев
"
1.74,3,100.0,3,4,0,17000,"
ул. Белорусская, 15б, Киев
"
1.19,1,85.0,3,4,0,28500,"
ул. Просвещения, 16а, Киев
"
1.18,1,65.0,2,1,0,12000,"
Святошинская пл., 1, Киев
"
2.87,3,46.0,1,4,1,17000,"
ул. Предславинская, 55а, Киев
"
1.12,3,50.0,2,4,0,14000,"
ул. Гришко Михаила, Киев
"
1.19,1,44.0,2,4,0,12000,"
ул. Энтузиастов, 5, Киев
"
1.19,1,40.0,1,4,0,13000,"
ул. Регенераторная, 4, Киев
"
1.74,3,99.0,3,4,0,17000,"
ул. Белорусская, Киев
"
2.87,1,55.0,2,4,0,29900,"
ул. Джона Маккейна (Кудри Ивана), Киев
"
1.18,1,60.0,2,4,0,12000,"
Святошинская пл., Киев
"
1.18,1,58.0,2,4,0,11500,"
ул. Клавдиевская, Киев
"
2.87,3,55.0,2,4,0,15000,"
ул. Госпитальная, Киев
"
1.18,1,65.0,2,4,1,11700,"
ул. Клавдиевская, 40д, Киев
"
1.22,1,55.0,2,9,0,11000,"
ул. Попова Александра, Киев
"
2.87,1,46.0,1,9,1,19000,"
ул. Тютюнника Василия (Барбюса Анри), 51/1а, Киев
"
2.87,1,60.0,2,3,0,25000,"
Новогоспитальная (Щорса пер.), 5а, Киев
"
2.87,3,110.0,3,23,0,149000,"
ул. Федорова Ивана, 2, Киев
"
1.53,3,65.0,2,15,1,38000,"
Голосеевский проспект (40-летия Октября просп.), 60, Киев
"
2.87,3,310.0,4,10,1,163000,"
ул. Мазепы Ивана (Январского Восстания), 11б, Киев
"
1.74,3,78.0,2,4,0,59800,"
ул. Франко Ивана, 11, Киев
"
1.53,3,105.0,3,5,0,67900,"
ул. Антоновича (Горького), 109, Киев
"
2.87,3,65.0,2,21,1,38000,"
ул. Джона Маккейна (Кудри Ивана), 7, Киев
"
1.53,3,82.0,3,21,1,40800,"
ул. Антоновича (Горького), 74, Киев
"
1.53,3,70.0,2,17,1,58400,"
ул. Антоновича (Горького), 44, Киев
"
2.87,3,110.0,2,19,1,89700,"
ул. Болсуновская (Струтинского Сергея), 2, Киев
"
2.87,3,56.0,2,12,0,38000,"
ул. Лейпцигская, 13а, Киев
"
1.19,3,90.0,2,10,1,54300,"
ул. Окипной Раиcы, 18, Киев
"
2.87,3,75.0,2,17,0,65200,"
Лабораторный пер., Киев
"
2.87,3,50.0,2,5,1,32600,"
ул. Тютюнника Василия (Барбюса Анри), 28а, Киев
"
1.12,1,450.0,5,4,0,217000,"
ул. Лесная (Бортничи), 3, Киев
"
1.53,3,65.0,2,13,0,32300,"
ул. Антоновича (Горького), 109, Киев
"
2.87,3,50.0,2,5,1,32400,"
ул. Тютюнника Василия (Барбюса Анри), 28а, Киев
"
2.87,3,50.0,2,4,1,54300,"
ул. Саперное Поле, 3, Киев
"
